,valence,arousal,part_quadrant,proj_quadrant
0,0.08571428571428572,-0.29619047619047617,Q4,Q4
1,0.15142857142857144,0.19238095238095237,Q1,Q4
2,0.03428571428571429,0.31047619047619046,Q1,Q2
3,-0.17238095238095238,0.28285714285714286,Q2,Q2
4,0.02857142857142857,-0.3295238095238095,Q4,Q3
5,-0.15333333333333332,0.0419047619047619,Q2,Q3
6,0.04666666666666667,0.3295238095238095,Q1,Q1
7,0.15619047619047619,-0.3171428571428571,Q4,Q4
8,0.08285714285714285,0.13714285714285715,Q1,Q3
9,0.2980952380952381,0.18666666666666668,Q1,Q1
10,0.05142857142857143,0.12,Q1,Q3
11,0.2180952380952381,0.2038095238095238,Q1,Q3
12,0.06952380952380953,0.007619047619047619,Q1,Q4
13,-0.22666666666666666,0.29714285714285715,Q2,Q2
14,0.07333333333333333,0.1438095238095238,Q1,Q2
15,0.19428571428571428,0.2038095238095238,Q1,Q1
16,-0.12761904761904763,0.2857142857142857,Q2,Q2
17,0.1019047619047619,0.2419047619047619,Q1,Q1
18,-0.21333333333333335,0.2876190476190476,Q2,Q2
19,0.06571428571428571,-0.20666666666666667,Q4,Q4
20,0.1295238095238095,-0.32571428571428573,Q4,Q4
21,0.22,0.26095238095238094,Q1,Q1
22,0.1961904761904762,0.2361904761904762,Q1,Q1
23,0.11619047619047619,-0.039047619047619046,Q4,Q3
24,0.1523809523809524,0.10761904761904761,Q1,Q3
25,0.1580952380952381,0.1295238095238095,Q1,Q4
26,-0.03238095238095238,0.32476190476190475,Q2,Q2
27,0.2057142857142857,0.24476190476190476,Q1,Q1
28,0.06476190476190476,0.22,Q1,Q2
29,-0.0380952380952381,0.25142857142857145,Q2,Q2
30,-0.11523809523809524,0.2542857142857143,Q2,Q2
31,0.06857142857142857,0.15047619047619049,Q1,Q1
32,0.07904761904761905,0.04666666666666667,Q1,Q2
33,0.06761904761904762,0.023809523809523808,Q1,Q3
34,0.12571428571428572,-0.18857142857142858,Q4,Q4
35,0.23333333333333334,0.1219047619047619,Q1,Q4
36,0.25523809523809526,0.08095238095238096,Q1,Q4
37,0.18476190476190477,-0.0019047619047619048,Q4,Q4
38,0.10761904761904761,0.05142857142857143,Q1,Q3
39,0.14666666666666667,0.16476190476190475,Q1,Q1
40,0.28095238095238095,0.20761904761904762,Q1,Q1
41,0.09142857142857143,0.09428571428571429,Q1,Q3
42,0.1895238095238095,-0.11428571428571428,Q4,Q4
43,0.06761904761904762,0.24,Q1,Q1
44,0.08095238095238096,-0.2866666666666667,Q4,Q3
45,0.14857142857142858,0.19904761904761906,Q1,Q1
46,0.19047619047619047,0.06380952380952382,Q1,Q3
47,-0.16666666666666666,0.3323809523809524,Q2,Q2
48,0.10095238095238095,0.0,Q4,Q1
49,0.11047619047619048,0.25333333333333335,Q1,Q2
50,-0.24571428571428572,0.28095238095238095,Q2,Q2
51,0.21047619047619048,0.040952380952380955,Q1,Q3
52,0.054285714285714284,0.021904761904761906,Q1,Q4
53,0.05047619047619047,-0.12761904761904763,Q4,Q3
54,-0.23809523809523808,0.24666666666666667,Q2,Q2
55,0.2038095238095238,0.22857142857142856,Q1,Q1
56,0.21428571428571427,0.2123809523809524,Q1,Q1
57,0.19523809523809524,-0.037142857142857144,Q4,Q4
58,0.07714285714285714,-0.022857142857142857,Q4,Q4
59,0.06857142857142857,0.029523809523809525,Q1,Q1
60,0.05047619047619047,0.3028571428571429,Q1,Q2
61,0.10380952380952381,-0.045714285714285714,Q4,Q3
62,0.18857142857142858,0.05238095238095238,Q1,Q3
63,-0.08571428571428572,0.2752380952380952,Q2,Q2
64,0.0,0.24857142857142858,Q4,Q2
65,0.19238095238095237,0.26761904761904765,Q1,Q1
66,-0.08952380952380952,-0.04666666666666667,Q3,Q3
67,0.09619047619047619,0.20095238095238097,Q1,Q1
68,0.04380952380952381,0.11523809523809524,Q1,Q3
69,0.1,-0.19714285714285715,Q4,Q4
70,0.06285714285714286,-0.0019047619047619048,Q4,Q4
71,0.09523809523809523,-0.01619047619047619,Q4,Q4
72,0.19523809523809524,-0.024761904761904763,Q4,Q4
73,0.15523809523809523,0.07142857142857142,Q1,Q4
74,-0.24761904761904763,0.28095238095238095,Q2,Q2
75,0.15523809523809523,0.07047619047619047,Q1,Q4
76,0.1580952380952381,-0.022857142857142857,Q4,Q4
77,0.15523809523809523,0.09238095238095238,Q1,Q3
78,0.15047619047619049,0.18,Q1,Q1
79,0.0,0.2276190476190476,Q4,Q1
80,0.2038095238095238,-0.017142857142857144,Q4,Q3
81,0.16857142857142857,0.11238095238095239,Q1,Q1
82,0.05904761904761905,-0.054285714285714284,Q4,Q3
83,0.1657142857142857,0.15333333333333332,Q1,Q1
84,0.19238095238095237,0.002857142857142857,Q1,Q3
85,0.1419047619047619,0.022857142857142857,Q1,Q3
86,0.06285714285714286,0.04476190476190476,Q1,Q1
87,0.15047619047619049,0.19238095238095237,Q1,Q1
88,0.0980952380952381,0.09333333333333334,Q1,Q3
89,-0.24285714285714285,0.2123809523809524,Q2,Q2
90,-0.18857142857142858,0.2276190476190476,Q2,Q2
91,0.08285714285714285,-0.0038095238095238095,Q4,Q4
92,0.12380952380952381,0.1580952380952381,Q1,Q2
93,0.07428571428571429,0.008571428571428572,Q1,Q2
94,-0.16857142857142857,0.15714285714285714,Q2,Q2
95,0.1523809523809524,0.010476190476190476,Q1,Q4
