,valence,arousal,part_quadrant,proj_quadrant
0,0.0775,-0.2025,Q4,Q4
1,-0.0025,0.29125,Q2,Q2
2,0.29,0.1075,Q1,Q1
3,-0.00125,-0.13125,Q3,Q3
4,0.0475,0.1275,Q1,Q3
5,0.115,0.0475,Q1,Q3
6,0.0,-0.16,Q4,Q4
7,0.0575,-0.1975,Q4,Q3
8,-0.00625,-0.01625,Q3,Q4
9,0.24875,-0.09625,Q4,Q1
10,0.005,0.2875,Q1,Q2
11,-0.00625,0.04625,Q2,Q3
12,-0.28,0.32,Q2,Q2
13,0.12875,-0.295,Q4,Q4
14,-0.13125,-0.2425,Q3,Q3
15,0.2925,0.1,Q1,Q4
16,0.0,0.15125,Q4,Q1
17,-0.06875,0.07875,Q2,Q4
18,0.03625,0.155,Q1,Q1
19,-0.18875,0.215,Q2,Q2
20,0.2575,0.0275,Q1,Q1
21,-0.09125,0.0225,Q2,Q2
22,0.14125,-0.04625,Q4,Q1
23,-0.2125,0.035,Q2,Q2
24,-0.2925,0.3225,Q2,Q2
25,0.19,0.2225,Q1,Q1
26,0.0975,-0.15125,Q4,Q4
27,0.25375,-0.17875,Q4,Q4
28,-0.0025,-0.11125,Q3,Q3
29,-0.0775,-0.10125,Q3,Q4
30,0.0625,0.28875,Q1,Q1
31,-0.18875,0.105,Q2,Q3
32,0.00125,-0.21875,Q4,Q3
33,0.13125,-0.19,Q4,Q4
34,0.03125,-0.235,Q4,Q3
35,-0.10375,0.24125,Q2,Q2
36,0.025,0.155,Q1,Q2
37,0.1075,-0.21875,Q4,Q1
38,-0.285,0.325,Q2,Q2
39,0.125,-0.32,Q4,Q3
40,-0.08,0.27125,Q2,Q2
41,-0.22625,0.0925,Q2,Q2
42,0.12625,0.02875,Q1,Q1
43,0.14125,0.06125,Q1,Q1
44,0.005,-0.06375,Q4,Q4
45,0.1025,-0.3075,Q4,Q4
46,-0.0025,0.08125,Q2,Q3
47,-0.0025,0.17875,Q2,Q1
48,-0.03125,0.09875,Q2,Q1
49,-0.0025,-0.1225,Q3,Q4
50,0.00125,-0.33125,Q4,Q3
51,0.03375,-0.3425,Q4,Q4
52,0.09375,0.045,Q1,Q1
53,0.0875,0.23375,Q1,Q1
54,-0.08125,0.29625,Q2,Q2
55,0.08375,0.2525,Q1,Q1
56,-0.18375,0.035,Q2,Q3
57,0.01,0.1575,Q1,Q4
58,0.20375,-0.24875,Q4,Q4
59,-0.275,0.305,Q2,Q2
60,0.1575,0.18,Q1,Q1
61,0.15375,-0.17625,Q4,Q3
62,-0.08,-0.0475,Q3,Q4
63,0.07875,-0.32,Q4,Q3
64,-0.235,-0.02625,Q3,Q3
65,-0.03625,0.28375,Q2,Q2
66,0.005,-0.16875,Q4,Q4
67,-0.11375,0.3,Q2,Q2
68,0.0375,0.11,Q1,Q1
69,0.01375,-0.2,Q4,Q3
70,-0.2775,0.3325,Q2,Q2
71,-0.23125,0.33,Q2,Q2
72,0.0325,-0.29625,Q4,Q3
73,0.0125,0.23875,Q1,Q1
74,0.12375,-0.3,Q4,Q3
75,0.2625,0.17125,Q1,Q1
76,-0.27375,0.29875,Q2,Q2
77,0.18625,0.17875,Q1,Q1
78,-0.05,-0.24625,Q3,Q3
79,0.0925,-0.34375,Q4,Q4
80,0.115,0.09125,Q1,Q1
81,0.0125,-0.225,Q4,Q4
82,0.0275,-0.35375,Q4,Q3
83,-0.28375,0.3325,Q2,Q2
84,-0.0425,0.27375,Q2,Q2
85,-0.00625,-0.02125,Q3,Q3
86,0.04875,0.07,Q1,Q4
87,0.08625,-0.10375,Q4,Q4
88,0.07,-0.1775,Q4,Q4
89,-0.08875,0.2375,Q2,Q2
90,0.0675,0.15875,Q1,Q1
91,-0.29375,0.325,Q2,Q2
92,0.0025,0.265,Q1,Q1
93,0.00125,0.3025,Q1,Q2
94,0.22375,0.08625,Q1,Q3
95,-0.00125,-0.34875,Q3,Q4
