,valence,arousal,part_quadrant,proj_quadrant
0,-0.0475,-0.21,Q3,Q4
1,0.0275,0.15125,Q1,Q1
2,0.08875,-0.0975,Q4,Q1
3,-0.13125,-0.31,Q3,Q3
4,-0.23625,0.27,Q2,Q2
5,0.16625,-0.1775,Q4,Q4
6,0.255,0.2225,Q1,Q1
7,0.2875,0.21375,Q1,Q1
8,-0.23,0.03375,Q2,Q2
9,-0.24,0.15875,Q2,Q3
10,0.055,-0.295,Q4,Q3
11,0.2625,0.20875,Q1,Q1
12,0.08375,-0.0325,Q4,Q3
13,-0.25375,-0.12625,Q3,Q2
14,0.065,-0.06625,Q4,Q4
15,0.295,0.22125,Q1,Q1
16,-0.12625,-0.23625,Q3,Q4
17,-0.035,-0.105,Q3,Q3
18,-0.29125,0.2825,Q2,Q2
19,0.04875,-0.28,Q4,Q4
20,0.24625,-0.1975,Q4,Q2
21,0.19625,0.15,Q1,Q4
22,-0.20125,-0.1,Q3,Q3
23,-0.27,0.12625,Q2,Q2
24,0.27875,0.28125,Q1,Q1
25,-0.08625,0.06625,Q2,Q3
26,-0.13,-0.255,Q3,Q4
27,0.105,0.2025,Q1,Q2
28,0.24125,0.05625,Q1,Q4
29,-0.1025,-0.3175,Q3,Q3
30,0.23875,0.14,Q1,Q4
31,-0.12,0.3075,Q2,Q2
32,-0.06125,-0.0875,Q3,Q3
33,0.095,-0.15,Q4,Q4
34,0.12875,0.23875,Q1,Q1
35,0.05125,-0.2325,Q4,Q3
36,0.26625,0.2675,Q1,Q1
37,0.21125,0.3175,Q1,Q1
38,-0.0875,-0.14625,Q3,Q1
39,-0.275,0.3125,Q2,Q2
40,-0.25875,0.21875,Q2,Q1
41,-0.09625,0.3175,Q2,Q2
42,-0.02625,0.20125,Q2,Q2
43,0.045,-0.2575,Q4,Q3
44,-0.14125,-0.25,Q3,Q4
45,-0.2525,-0.215,Q3,Q3
46,0.19625,0.15875,Q1,Q2
47,0.17875,-0.15625,Q4,Q4
48,-0.2875,0.14125,Q2,Q3
49,-0.235,0.27625,Q2,Q2
50,-0.06625,-0.25,Q3,Q4
51,-0.215,0.3275,Q2,Q2
52,0.19375,0.25,Q1,Q1
53,-0.16375,0.1125,Q2,Q2
54,0.275,0.2275,Q1,Q1
55,-0.125,-0.16875,Q3,Q3
56,0.25375,0.1625,Q1,Q1
57,0.23125,0.09,Q1,Q4
58,0.26375,0.2725,Q1,Q1
59,-0.25875,0.30875,Q2,Q2
60,-0.25375,0.21,Q2,Q2
61,0.23125,-0.16625,Q4,Q1
62,-0.1075,0.095,Q2,Q3
63,-0.265,-0.23625,Q3,Q4
64,0.205,-0.085,Q4,Q3
65,-0.17,-0.145,Q3,Q4
66,-0.175,0.18875,Q2,Q2
67,0.245,-0.05875,Q4,Q4
68,-0.23875,-0.15875,Q3,Q3
69,0.2475,0.1075,Q1,Q1
70,0.21,0.10375,Q1,Q4
71,-0.21375,0.0875,Q2,Q3
72,0.21375,-0.13125,Q4,Q4
73,-0.2125,-0.14375,Q3,Q3
74,0.20125,-0.11,Q4,Q4
75,0.1525,0.1175,Q1,Q3
76,-0.13375,-0.2475,Q3,Q4
77,0.24375,0.24625,Q1,Q1
78,-0.1075,0.2025,Q2,Q2
79,-0.2375,0.30375,Q2,Q2
80,-0.185,0.3025,Q2,Q2
81,0.065,-0.245,Q4,Q3
82,-0.17,-0.23125,Q3,Q3
83,0.22875,0.27875,Q1,Q1
84,-0.19875,-0.14375,Q3,Q4
85,-0.0675,0.19625,Q2,Q2
86,-0.22125,0.29375,Q2,Q2
87,-0.21375,-0.24,Q3,Q3
88,0.12125,0.1225,Q1,Q1
89,0.21,0.1875,Q1,Q1
90,0.1625,-0.1425,Q4,Q1
91,-0.09,-0.26375,Q3,Q4
92,0.2075,0.1525,Q1,Q4
93,0.23625,0.105,Q1,Q1
94,-0.1825,0.26875,Q2,Q2
95,0.23625,-0.21,Q4,Q3
