trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,starttext.stopped,music.id,Quadrants.id,russellsQuad.started,russellsQuad.stopped,music.started,music.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,fixCross.started,fixCross.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,11.615370807005093,None,../fMRI_stim/music/Q1/MT0026753600.wav,Q1,14.292114199022762,None,14.17931732920697,None,[0.12375],[0.11375],[1],[0],[0],[5.794688808033243],0.004031315096653998,None,19.98054958402645,None,,,03_03,001,2023_Feb_16_1601,musicemotionlatency,2021.2.3,119.57751253167605,
1,0,1,0,,,../fMRI_stim/music/Q3/MT0014665667.wav,Q3,22.33642657403834,None,22.328982988977806,None,[-0.085],[-0.11125],[1],[0],[0],[4.5581057301023975],0.007843981846235693,None,26.88997633906547,None,,,03_03,001,2023_Feb_16_1601,musicemotionlatency,2021.2.3,119.57751253167605,
2,0,2,0,,,../fMRI_stim/music/Q1/MT0001757676.wav,Q1,29.283984975074418,None,29.2659995615948,None,[0.19875],[0.08],[1],[0],[0],[9.182833204045892],0.00041766860522329807,None,38.4592432040954,None,,,03_03,001,2023_Feb_16_1601,musicemotionlatency,2021.2.3,119.57751253167605,
3,0,3,0,,,../fMRI_stim/music/Q2/MT0016743722.wav,Q2,40.87762528704479,None,40.86077694535488,None,[-0.0325],[0.1225],[1],[0],[0],[7.873017800971866],0.0025591952726244926,None,48.7431505380664,None,,,03_03,001,2023_Feb_16_1601,musicemotionlatency,2021.2.3,119.57751253167605,
4,0,4,0,,,../fMRI_stim/music/Q4/MT0015706588.wav,Q4,51.159014212084,None,51.14229532841127,None,[0.15125],[-0.11375],[1],[0],[0],[5.894481428898871],0.00015052442904561758,None,57.04779371002223,None,,,03_03,001,2023_Feb_16_1601,musicemotionlatency,2021.2.3,119.57751253167605,
5,0,5,0,,,../fMRI_stim/music/Q3/MT0003037754.wav,Q3,59.49381640506908,None,59.47688682810403,None,[-0.20625],[-0.045],[1],[0],[0],[8.235616819933057],0.0015917930286377668,None,67.72306063503493,None,,,03_03,001,2023_Feb_16_1601,musicemotionlatency,2021.2.3,119.57751253167605,
6,0,6,0,,,../fMRI_stim/music/Q1/MT0014576739.wav,Q1,70.14374271407723,None,70.12700626834994,None,[0.17625],[0.17125],[1],[0],[0],[2.7709296529646963],0.0025118733756244183,None,72.90642671310343,None,,,03_03,001,2023_Feb_16_1601,musicemotionlatency,2021.2.3,119.57751253167605,
7,0,7,0,,,../fMRI_stim/music/Q2/MT0001419145.wav,Q1,75.30544504208956,None,75.29027749465313,None,[0.235],[0.16625],[1],[0],[0],[7.251284016063437],0.0024089436046779156,None,82.55107506003696,None,,,03_03,001,2023_Feb_16_1601,musicemotionlatency,2021.2.3,119.57751253167605,
8,0,8,0,,,../fMRI_stim/music/Q3/MT0000661250.wav,Q3,85.02354942203965,None,85.01293445362244,97.02852963306941,[-0.05],[-0.17625],[1],[0],[0],[15.44947092491202],0.006749374675564468,None,100.46697613107972,None,,,03_03,001,2023_Feb_16_1601,musicemotionlatency,2021.2.3,119.57751253167605,
9,0,9,0,,,../fMRI_stim/music/Q1/MT0001053268.wav,Q1,102.92224079801235,None,102.91099138085265,None,[0.19],[0.08875],[1],[0],[0],[4.689918810967356],1.2052943930029869e-05,None,107.60474952601362,None,,,03_03,001,2023_Feb_16_1601,musicemotionlatency,2021.2.3,119.57751253167605,
10,0,10,0,,,../fMRI_stim/music/Q4/MT0000661847.wav,Q4,110.10443777008913,None,110.09167329462943,None,[0.15375],[-0.14125],[1],[0],[0],[8.946225321036763],0.004324868670664728,None,119.04475646407809,None,,,03_03,001,2023_Feb_16_1601,musicemotionlatency,2021.2.3,119.57751253167605,
11,0,11,0,,,../fMRI_stim/music/Q4/MT0003710207.wav,Q4,121.43372760806233,None,121.41956946876599,None,[0.12375],[-0.05875],[1],[0],[0],[10.59651280194521],0.005873429705388844,None,132.02305665810127,None,,,03_03,001,2023_Feb_16_1601,musicemotionlatency,2021.2.3,119.57751253167605,
12,0,12,0,,,../fMRI_stim/music/Q4/MT0028709149.wav,Q4,134.44904265808873,None,134.43763744924217,None,[0.18625],[-0.18],[1],[0],[0],[6.8462514240527526],0.008353769197128713,None,141.28822056308854,None,,,03_03,001,2023_Feb_16_1601,musicemotionlatency,2021.2.3,119.57751253167605,
13,0,13,0,,,../fMRI_stim/music/Q2/MT0000971834.wav,Q1,143.73573988804128,None,143.71798266111875,None,[0.1325],[0.12625],[1],[0],[0],[10.1603990229778],0.001986689050681889,None,153.8887851970503,None,,,03_03,001,2023_Feb_16_1601,musicemotionlatency,2021.2.3,119.57751253167605,
