trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,starttext.stopped,music.id,Quadrants.id,russellsQuad.started,russellsQuad.stopped,music.started,music.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,fixCross.started,fixCross.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,52.29476090200001,None,../fMRI_stim/music/Q2/MT0034694413.wav,Q2,54.67588290599997,None,54.63166332900021,None,[-0.2925],[0.3225],[1],[0],[0],[5.3078108639999755],0.00211848700007522,None,59.947355208999966,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
1,0,1,0,,,../fMRI_stim/music/Q1/MT0012331779.wav,Q1,62.24943431600002,None,62.23804325100009,None,[0.19],[0.2225],[1],[0],[0],[7.874373050000031],0.006748094000158744,None,70.11694117900004,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
2,0,2,0,,,../fMRI_stim/music/Q4/MT0004584067.wav,Q4,72.43606257800002,None,72.42622430000016,84.435387967,[0.0975],[-0.15125],[1],[0],[0],[12.39801895900007],0.006222274000151629,None,84.82878741399998,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
3,0,3,0,,,../fMRI_stim/music/Q4/MT0012888230.wav,Q4,87.23265383600005,None,87.2153382750002,None,[0.25375],[-0.17875],[1],[0],[0],[9.102567847999921],0.0002906470001562411,None,96.32958496900005,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
4,0,4,0,,,../fMRI_stim/music/Q3/MT0033345959.wav,Q3,98.74175540800002,None,98.73043014150021,None,[-0.0025],[-0.11125],[1],[0],[0],[11.685004006999975],0.0062760155001342355,None,110.42154356599997,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
5,0,5,0,,,../fMRI_stim/music/Q4/MT0013176970.wav,Q3,112.81277590000002,None,112.79717462000015,124.80409875999999,[-0.0775],[-0.10125],[1],[0],[0],[16.649541518999968],0.0007583110000268789,None,129.458913683,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
6,0,6,0,,,../fMRI_stim/music/Q1/MT0033841575.wav,Q1,131.84858144500004,None,131.8332785920001,143.84801267800003,[0.0625],[0.28875],[1],[0],[0],[14.271057036000002],0.001333146000092711,None,146.126520991,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
7,0,7,0,,,../fMRI_stim/music/Q3/MT0000299291.wav,Q2,148.51798308499997,None,148.5044394200002,160.52478968399998,[-0.18875],[0.105],[1],[0],[0],[12.978589529000033],0.0024225490002436345,None,161.49211955600003,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
8,0,8,0,,,../fMRI_stim/music/Q3/MT0010468178.wav,Q4,163.88677782600007,None,163.8756921805001,175.88760077300003,[0.00125],[-0.21875],[1],[0],[0],[14.719183548000046],0.0052333444999703715,None,178.60069092599997,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
9,0,9,0,,,../fMRI_stim/music/Q4/MT0000235880.wav,Q4,181.00193546800006,None,180.98926615050016,None,[0.13125],[-0.19],[1],[0],[0],[11.930386750000025],0.005342870500044228,None,192.92596404699998,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
10,0,10,0,,,../fMRI_stim/music/Q3/MT0003402538.wav,Q4,195.31908457100008,None,195.30743086050018,None,[0.03125],[-0.235],[1],[0],[0],[11.003970616999936],0.00576301250009692,None,206.31669524100005,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
11,0,11,0,,,../fMRI_stim/music/Q2/MT0011413068.wav,Q2,208.70637357400005,None,208.69751171250016,220.71172928700003,[-0.10375],[0.24125],[1],[0],[0],[13.939656731000014],0.007491973500123095,None,222.64073151399998,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
12,0,12,0,,,../fMRI_stim/music/Q2/MT0004867185.wav,Q1,225.02758376999998,None,225.01354176500018,237.02227550700002,[0.025],[0.155],[1],[0],[0],[13.581167040999958],0.0025868730000411233,None,238.61617109999997,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
13,0,13,0,,,../fMRI_stim/music/Q1/MT0011997914.wav,Q4,241.01244372000008,None,240.99929445000015,253.01419763700005,[0.1075],[-0.21875],[1],[0],[0],[12.90444163699999],0.0033458330000257774,None,253.91139883200003,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
14,0,14,0,,,../fMRI_stim/music/Q2/MT0009601423.wav,Q2,256.33588162,None,256.32136609950015,None,[-0.285],[0.325],[1],[0],[0],[5.879194926999958],0.003853831500009619,None,262.207722299,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
15,0,15,0,,,../fMRI_stim/music/Q3/MT0010850805.wav,Q4,264.585309005,None,264.5699175270002,276.578470346,[0.125],[-0.32],[1],[0],[0],[12.927960251000059],0.0004190180002296984,None,277.508641623,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
16,0,16,0,,,../fMRI_stim/music/Q2/MT0000441552.wav,Q2,279.904478423,None,279.8892111575002,291.89947551299997,[-0.08],[0.27125],[1],[0],[0],[14.467951699000082],0.0015874145002499063,None,294.36664902100006,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
17,0,17,0,,,../fMRI_stim/music/Q2/MT0011259078.wav,Q2,296.762686022,None,296.7542369125001,308.769064359,[-0.22625],[0.0925],[1],[0],[0],[14.465438116999962],0.007588331500073764,None,311.22321202600006,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
18,0,18,0,,,../fMRI_stim/music/Q1/MT0004122617.wav,Q1,313.61212335000005,None,313.60384612350015,None,[0.12625],[0.02875],[1],[0],[0],[11.346857699999987],0.007488849500077777,None,324.970370052,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
19,0,19,0,,,../fMRI_stim/music/Q1/MT0000414517.wav,Q1,327.372450555,None,327.36219226400016,None,[0.14125],[0.06125],[1],[0],[0],[10.410906867999984],0.006737155999985589,None,337.77733646900003,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
20,0,20,0,,,../fMRI_stim/music/Q4/MT0011895175.wav,Q4,340.17767695099997,None,340.16870392200013,None,[0.005],[-0.06375],[1],[0],[0],[10.90837461000001],0.00787776400011353,None,351.08032754500005,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
21,0,21,0,,,../fMRI_stim/music/Q4/MT0034160981.wav,Q4,353.48178014100006,None,353.4713145860001,None,[0.1025],[-0.3075],[1],[0],[0],[11.507490393000012],0.007642872000019452,None,364.9840708180001,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
22,0,22,0,,,../fMRI_stim/music/Q3/MT0008979040.wav,Q2,367.39377213299997,None,367.37930383300017,379.3891548340001,[-0.0025],[0.08125],[1],[0],[0],[14.02585462400009],0.0024103230001628617,None,381.413790232,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
23,0,23,0,,,../fMRI_stim/music/Q1/MT0011104152.wav,Q2,383.802265033,None,383.79343291900005,None,[-0.0025],[0.17875],[1],[0],[0],[11.395005380000157],0.007073735000176384,None,395.19148076800013,None,,,04_02,001,2023_Mar_23_1754,musicemotionlatency,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,397.1954245400001,None,,,,,,,
