trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,starttext.stopped,music.id,Quadrants.id,russellsQuad.started,russellsQuad.stopped,music.started,music.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,fixCross.started,fixCross.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,17.977437690999977,None,../fMRI_stim/music/Q4/MT0003956612.wav,Q4,20.555963724999856,None,20.4364214126667,None,[0.0419047619047619],[-0.23333333333333334],[0],[0],[1],[6.524569924999923],0.002464201666043664,None,26.973604963999605,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
1,0,1,0,,,../fMRI_stim/music/Q2/MT0009293226.wav,Q2,29.369101119000334,None,29.352655935333253,None,[-0.25142857142857145],[0.15714285714285714],[1],[0],[0],[6.344850544999645],0.004875139333307743,None,35.70790206699985,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
2,0,2,0,,,../fMRI_stim/music/Q3/MT0003101727.wav,Q3,38.131864398999824,None,38.116437845666646,None,[-0.02761904761904762],[-0.32761904761904764],[1],[0],[0],[9.242951123999774],0.00709227766674303,None,47.368499309999606,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
3,0,3,0,,,../fMRI_stim/music/Q3/MT0006672286.wav,Q3,49.87223755099967,None,49.85880532800002,None,[-0.06476190476190476],[-0.18285714285714286],[1],[0],[0],[7.424535510000169],0.009892563000903465,None,57.28941565999958,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
4,0,4,0,,,../fMRI_stim/music/Q3/MT0010468178.wav,Q3,59.761028990999876,None,59.75033419466624,None,[-0.14857142857142858],[-0.29904761904761906],[1],[0],[0],[8.95475820899992],0.011916358665075677,None,68.70892296399961,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
5,0,5,0,,,../fMRI_stim/music/Q3/MT0000534539.wav,Q4,71.18780604099993,None,71.17140193466682,None,[0.0419047619047619],[-0.3457142857142857],[1],[0],[0],[7.880090511000162],0.007481566665774153,None,79.06015298700004,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
6,0,6,0,,,../fMRI_stim/music/Q2/MT0011259078.wav,Q2,81.54418590200021,None,81.51814735366631,93.531971677,[-0.014285714285714285],[0.19714285714285715],[1],[0],[0],[12.3205013099996],0.003312942665615992,None,93.85095084099976,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
7,0,7,0,,,../fMRI_stim/music/Q2/MT0001376988.wav,Q2,96.29218799699993,None,96.28407033999993,None,[-0.16285714285714287],[0.05238095238095238],[1],[0],[0],[9.261783775999902],0.016296438999233942,None,105.54573764799989,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
8,0,8,0,,,../fMRI_stim/music/Q2/MT0004459450.wav,Q2,108.01161689000037,None,108.00136582066668,None,[-0.2695238095238095],[0.23714285714285716],[1],[0],[0],[10.869077336000373],0.013462690665619448,None,118.87270487200021,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
9,0,9,0,,,../fMRI_stim/music/Q1/MT0010501618.wav,Q1,121.37004629500007,None,121.34866565233345,None,[0.02],[0.25523809523809526],[1],[0],[0],[9.284597457000018],0.002930263332928007,None,130.6463323629996,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
10,0,10,0,,,../fMRI_stim/music/Q1/MT0008575372.wav,Q1,133.12995009400038,None,133.121856802333,None,[0.07428571428571429],[0.24761904761904763],[1],[0],[0],[10.438222939999832],0.015965197333571268,None,143.58195882400014,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
11,0,11,0,,,../fMRI_stim/music/Q3/MT0008493270.wav,Q1,146.053263195,None,146.0336814316665,158.05390732199976,[0.1895238095238095],[0.06],[1],[0],[0],[15.658847597999738],0.004938459665936534,None,161.70361635300014,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
12,0,12,0,,,../fMRI_stim/music/Q2/MT0004316859.wav,Q3,164.15537025899994,None,164.1337490443329,None,[-0.02666666666666667],[-0.025714285714285714],[0],[0],[1],[10.938072357999772],0.002010588332268526,None,175.09161884999958,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
13,0,13,0,,,../fMRI_stim/music/Q1/MT0003603772.wav,Q1,177.62858738500017,None,177.61075323633355,None,[0.08],[0.18857142857142858],[1],[0],[0],[7.304799368999738],0.005339320334314834,None,184.92808889000025,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
14,0,14,0,,,../fMRI_stim/music/Q2/MT0007627521.wav,Q2,187.45524157300042,None,187.44532138333358,None,[-0.31142857142857144],[0.259047619047619],[1],[0],[0],[4.514344745000017],0.012774609333973785,None,191.9639999000001,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
15,0,15,0,,,../fMRI_stim/music/Q4/MT0000636335.wav,Q4,194.48260232200028,None,194.4725991186663,None,[0.07904761904761905],[-0.12285714285714286],[1],[0],[0],[5.938841943000625],0.01283080766643252,None,200.41657211599977,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
16,0,16,0,,,../fMRI_stim/music/Q1/MT0001217651.wav,Q1,203.00500768799975,None,202.98842880133301,None,[0.06],[0.15523809523809523],[1],[0],[0],[7.3848004970004695],0.007611663332681928,None,210.38266146200021,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
17,0,17,0,,,../fMRI_stim/music/Q1/MT0003724610.wav,Q1,212.81596874800016,None,212.8014245153335,None,[0.025714285714285714],[0.14285714285714285],[1],[0],[0],[11.800506313999904],0.010416428333883232,None,224.60836356500022,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
18,0,18,0,,,../fMRI_stim/music/Q4/MT0011380622.wav,Q4,227.08461560999967,None,227.06402226566703,None,[0.11714285714285715],[-0.1295238095238095],[1],[0],[0],[6.650397903999874],0.003982403667578183,None,233.72625394100032,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
19,0,19,0,,,../fMRI_stim/music/Q4/MT0003710207.wav,Q4,236.29580696799985,None,236.28304954966652,248.29209576300036,[0.26857142857142857],[-0.0980952380952381],[1],[0],[0],[12.312385573000029],0.010275900666783855,None,248.60129504999986,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
20,0,20,0,,,../fMRI_stim/music/Q1/MT0011997914.wav,Q4,251.05915122999977,None,251.0471285879996,None,[0.2361904761904762],[-0.0980952380952381],[1],[0],[0],[9.348221113000363],0.012105558999792265,None,260.3998408010002,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
21,0,21,0,,,../fMRI_stim/music/Q3/MT0003037754.wav,Q4,262.86246683399986,None,262.8546225696668,None,[0.021904761904761906],[-0.32761904761904764],[1],[0],[0],[9.616013333999945],0.016328646665897395,None,272.47236110300037,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
22,0,22,0,,,../fMRI_stim/music/Q4/MT0012888230.wav,Q1,274.9526817679998,None,274.9306593346668,286.94648943799984,[0.029523809523809525],[0.02666666666666667],[1],[0],[0],[12.812044815000263],0.0020095326672162628,None,287.75720356999955,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
23,0,23,0,,,../fMRI_stim/music/Q4/MT0008665212.wav,Q4,290.232749064,None,290.21531955966697,None,[0.008571428571428572],[-0.2704761904761905],[1],[0],[0],[11.201460934000352],0.00681334766704822,None,301.4487926089996,None,,,12_04,001,2023_Mar_27_1722,musicemotionlatency,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,303.4517390430001,None,,,,,,,
