onset	duration	trial_type
0.0	11.95	Baseline
11.95	12.01	Noise
23.96	12.04	Baseline
36.0	11.51	Q4_p
36.0	11.51	Q3_db
47.98	11.51	Q1_p
47.98	11.51	Q3_db
59.98	11.51	Q3_p
59.98	11.51	Q3_db
71.96	11.99	Baseline
83.95	12.01	Noise
95.96	12.04	Baseline
108.0	11.51	Q2_p
108.0	11.51	Q2_db
119.98	11.52	Q2_p
119.98	11.52	Q2_db
131.98	11.5	Q1_p
131.98	11.5	Q2_db
143.96	11.99	Baseline
155.95	12.01	Noise
167.96	12.05	Baseline
180.0	11.5	Q2_p
180.0	11.5	Q1_db
191.97	11.51	Q2_p
191.97	11.51	Q1_db
203.95		Q1_p
203.95		Q1_db
215.97	11.99	Baseline
227.95	12.0	Noise
239.96	12.05	Baseline
252.0	11.5	Q1_p
252.0	11.5	Q4_db
263.99	11.51	Q4_p
263.99	11.51	Q4_db
275.99	11.51	Q1_p
275.99	11.51	Q4_db
288.0	11.99	Baseline
299.99	12.0	Noise
311.99	12.05	Baseline
324.04	11.51	Q3_p
324.04	11.51	Q3_db
336.02	11.5	Q4_p
336.02	11.5	Q3_db
348.02	11.5	Q3_p
348.02	11.5	Q3_db
360.01	11.98	Baseline
371.99	12.01	Noise
384.0	12.05	Baseline
396.04	11.5	Q1_p
396.04	11.5	Q2_db
408.03	11.5	Q2_p
408.03	11.5	Q2_db
420.03	11.5	Q2_p
420.03	11.5	Q2_db
432.02	11.98	Baseline
444.0	12.0	Noise
456.0	12.04	Baseline
468.03	11.51	Q1_p
468.03	11.51	Q1_db
480.01	11.51	Q1_p
480.01	11.51	Q1_db
492.02	11.51	Q2_p
492.02	11.51	Q1_db
504.03	11.97	Baseline
516.0	12.0	Noise
528.0	12.03	Baseline
540.03	11.5	Q1_p
540.03	11.5	Q4_db
552.03	11.5	Q4_p
552.03	11.5	Q4_db
564.03	11.51	Q1_p
564.03	11.51	Q4_db
