onset	duration	trial_type
0.0	11.95	Baseline
11.95	12.0	Noise
23.95	12.05	Baseline
36.0	11.51	Q1_p
36.0	11.51	Q1_db
47.99	11.51	Q1_p
47.99	11.51	Q1_db
59.97	11.51	Q1_p
59.97	11.51	Q1_db
71.98	11.98	Baseline
83.96	12.0	Noise
95.96	12.05	Baseline
108.01	11.5	Q2_p
108.01	11.5	Q2_db
119.97	11.5	Q2_p
119.97	11.5	Q2_db
131.99	11.53	Q1_p
131.99	11.53	Q2_db
143.98	11.97	Baseline
155.96	12.0	Noise
167.96	12.05	Baseline
180.01	11.5	Q4_p
180.01	11.5	Q4_db
191.99	11.51	Q4_p
191.99	11.51	Q4_db
203.99	11.52	Q1_p
203.99	11.52	Q4_db
215.99	11.95	Baseline
227.95	12.01	Noise
239.96	12.05	Baseline
252.01	11.52	Q4_p
252.01	11.52	Q3_db
263.98	11.51	Q3_p
263.98	11.51	Q3_db
275.99	11.51	Q1_p
275.99	11.51	Q3_db
288.02	12.0	Baseline
300.01	12.01	Noise
312.02	12.04	Baseline
324.06	11.51	Q3_p
324.06	11.51	Q4_db
336.08	11.5	Q1_p
336.08	11.5	Q4_db
348.05	11.5	Q1_p
348.05	11.5	Q4_db
360.06	11.96	Baseline
372.02	12.01	Noise
384.02	12.06	Baseline
396.08	11.51	Q1_p
396.08	11.51	Q2_db
408.05	11.51	Q2_p
408.05	11.51	Q2_db
420.05	11.51	Q2_p
420.05	11.51	Q2_db
432.07	11.95	Baseline
444.02	11.98	Noise
456.0	12.05	Baseline
468.05	11.51	Q1_p
468.05	11.51	Q1_db
480.05	11.51	Q1_p
480.05	11.51	Q1_db
492.04	11.5	Q1_p
492.04	11.5	Q1_db
504.05	11.95	Baseline
516.0	12.01	Noise
528.01	12.06	Baseline
540.07	11.5	Q3_p
540.07	11.5	Q3_db
552.04	11.5	Q1_p
552.04	11.5	Q3_db
564.06	11.51	Q4_p
564.06	11.51	Q3_db
