onset	duration	trial_type
0.0	11.95	Baseline
11.95	12.0	Noise
23.95	12.05	Baseline
36.0	11.51	Q2_p
36.0	11.51	Q2_db
47.98	11.51	Q1_p
47.98	11.51	Q2_db
59.97	11.51	Q1_p
59.97	11.51	Q2_db
71.96	11.99	Baseline
83.95	12.01	Noise
95.96	12.05	Baseline
108.0	11.5	Q4_p
108.0	11.5	Q3_db
119.98	11.51	Q4_p
119.98	11.51	Q3_db
131.98	11.51	Q3_p
131.98	11.51	Q3_db
143.98	11.97	Baseline
155.95	12.0	Noise
167.95	12.05	Baseline
180.0	11.5	Q1_p
180.0	11.5	Q4_db
191.99	11.51	Q4_p
191.99	11.51	Q4_db
203.99	11.5	Q4_p
203.99	11.5	Q4_db
215.99	11.96	Baseline
227.95	12.0	Noise
239.95	12.05	Baseline
252.0	11.51	Q1_p
252.0	11.51	Q1_db
263.99	11.51	Q1_p
263.99	11.51	Q1_db
275.99	11.51	Q4_p
275.99	11.51	Q1_db
288.03	12.0	Baseline
300.02	12.0	Noise
312.03	12.06	Baseline
324.09	11.51	Q1_p
324.09	11.51	Q1_db
336.06	11.51	Q2_p
336.06	11.51	Q1_db
348.06	11.51	Q4_p
348.06	11.51	Q1_db
360.05	11.98	Baseline
372.03	12.02	Noise
384.04	12.05	Baseline
396.09	11.51	Q1_p
396.09	11.51	Q2_db
408.06	11.5	Q2_p
408.06	11.5	Q2_db
420.06	11.51	Q2_p
420.06	11.51	Q2_db
432.07	11.95	Baseline
444.03	12.01	Noise
456.04	12.06	Baseline
468.1	11.51	Q4_p
468.1	11.51	Q3_db
480.05	11.5	Q3_p
480.05	11.5	Q3_db
492.06	11.5	Q4_p
492.06	11.5	Q3_db
504.06	11.95	Baseline
516.01	12.0	Noise
528.01	12.03	Baseline
540.05	11.51	Q4_p
540.05	11.51	Q4_db
552.06	11.52	Q3_p
552.06	11.52	Q4_db
564.05	11.51	Q3_p
564.05	11.51	Q4_db
