onset	duration	trial_type
0.0	11.95	Baseline
11.95	12.0	Noise
23.95	12.05	Baseline
36.0	11.51	Q4_p
36.0	11.51	Q3_db
47.97	11.53	Q1_p
47.97	11.53	Q3_db
59.97	11.51	Q3_p
59.97	11.51	Q3_db
71.97	11.98	Baseline
83.94	12.02	Noise
95.96	12.04	Baseline
107.99	11.5	Q2_p
107.99	11.5	Q2_db
119.98	11.51	Q2_p
119.98	11.51	Q2_db
131.98	11.51	Q3_p
131.98	11.51	Q2_db
143.97	11.97	Baseline
155.95	12.01	Noise
167.96	12.04	Baseline
180.0	11.5	Q4_p
180.0	11.5	Q4_db
191.98	11.51	Q1_p
191.98	11.51	Q4_db
203.99	11.51	Q4_p
203.99	11.51	Q4_db
215.96	11.99	Baseline
227.95	12.0	Noise
239.95	12.05	Baseline
252.0	11.51	Q1_p
252.0	11.51	Q1_db
263.98	11.51	Q1_p
263.98	11.51	Q1_db
275.97	11.51	Q1_p
275.97	11.51	Q1_db
288.0	11.99	Baseline
299.98	12.0	Noise
311.99	12.05	Baseline
324.03	11.51	Q3_p
324.03	11.51	Q3_db
336.02	11.53	Q3_p
336.02	11.53	Q3_db
348.02	11.51	Q1_p
348.02	11.51	Q3_db
360.01	11.98	Baseline
371.99	12.01	Noise
384.0	12.04	Baseline
396.04	11.51	Q1_p
396.04	11.51	Q1_db
408.0	11.5	Q1_p
408.0	11.5	Q1_db
420.02	11.52	Q1_p
420.02	11.52	Q1_db
432.01	11.98	Baseline
443.99	12.01	Noise
456.0	12.04	Baseline
468.04	11.51	Q3_p
468.04	11.51	Q2_db
480.02	11.5	Q3_p
480.02	11.5	Q2_db
492.02	11.5	Q3_p
492.02	11.5	Q2_db
504.02	11.97	Baseline
515.99	12.0	Noise
527.99	12.05	Baseline
540.04	11.51	Q4_p
540.04	11.51	Q4_db
552.03	11.51	Q4_p
552.03	11.51	Q4_db
564.04	11.5	Q3_p
564.04	11.5	Q4_db
