onset	duration	trial_type
0.0	11.94	Baseline
11.94	12.0	Noise
23.94	12.03	Baseline
35.98	11.5	Q1_p
35.98	11.5	Q1_db
47.98	11.5	Q4_p
47.98	11.5	Q1_db
59.98	11.52	Q1_p
59.98	11.52	Q1_db
71.95	11.99	Baseline
83.95	12.01	Noise
95.95	12.04	Baseline
108.0	11.51	Q1_p
108.0	11.51	Q2_db
119.98	11.51	Q1_p
119.98	11.51	Q2_db
131.98	11.51	Q1_p
131.98	11.51	Q2_db
143.96	11.99	Baseline
155.95	12.0	Noise
167.95	12.05	Baseline
180.0	11.5	Q4_p
180.0	11.5	Q4_db
191.98	11.5	Q4_p
191.98	11.5	Q4_db
203.98	11.51	Q4_p
203.98	11.51	Q4_db
215.97	11.99	Baseline
227.95	12.0	Noise
239.95	12.03	Baseline
251.99	11.51	Q4_p
251.99	11.51	Q3_db
263.99	11.5	Q4_p
263.99	11.5	Q3_db
275.99	11.51	Q4_p
275.99	11.51	Q3_db
288.02	11.99	Baseline
300.0	12.0	Noise
312.0	12.03	Baseline
324.04	11.52	Q4_p
324.04	11.52	Q4_db
336.04	11.51	Q1_p
336.04	11.51	Q4_db
348.06	11.5	Q4_p
348.06	11.5	Q4_db
360.05	11.96	Baseline
372.01	12.0	Noise
384.01	12.05	Baseline
396.06	11.51	Q4_p
396.06	11.51	Q1_db
408.04	11.51	Q4_p
408.04	11.51	Q1_db
420.04	11.51	Q4_p
420.04	11.51	Q1_db
432.04	11.97	Baseline
444.01	12.01	Noise
456.02	12.04	Baseline
468.06	11.5	Q3_p
468.06	11.5	Q3_db
480.05	11.51	Q4_p
480.05	11.51	Q3_db
492.05	11.51	Q4_p
492.05	11.51	Q3_db
504.04	11.95	Baseline
516.0	12.01	Noise
528.0	12.04	Baseline
540.05	11.51	Q1_p
540.05	11.51	Q2_db
552.03	11.51	Q1_p
552.03	11.51	Q2_db
564.03	11.5	Q1_p
564.03	11.5	Q2_db
