sub	accordance
sub-01	0.65625
sub-02	0.6041666666666666
sub-03	0.625
sub-04	0.625
sub-05	0.5520833333333334
sub-06	0.4270833333333333
sub-07	0.7395833333333334
sub-08	0.5520833333333334
sub-09	0.7604166666666666
sub-10	0.5520833333333334
sub-11	0.5208333333333334
sub-12	0.6145833333333334
sub-13	0.7083333333333334
sub-14	0.5729166666666666
sub-15	0.4375
sub-16	0.46875
sub-17	0.6458333333333334
sub-18	0.4166666666666667
sub-19	0.5520833333333334
