MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,WelcomeMessage.stopped,Baseline1.started,Noise.started,Baseline1.stopped,Noise.stopped,Baseline2.started,Baseline2.stopped,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ3.csv,music\Q3\MT0011398970.wav,1,0,1,0,0,0,0,2,0,0,0,0,,,315.62336269998923,327.62047596999327,327.6371377000469,,339.6243159000296,,351.7045371500135,363.12170010001864,363.2104905000306,363.6852732000407,,,,,04,1,True,2023-01-16_16h25.42.162,BrainplaybackQuadrants,2022.2.4,59.73162579225539,
MusicListQ3.csv,music\Q3\MT0011440705.wav,1,0,1,0,0,0,0,2,0,1,1,1,,,,,,,,,363.6885013500287,375.12209520000033,375.190376500017,375.6872490000096,,,,,04,1,True,2023-01-16_16h25.42.162,BrainplaybackQuadrants,2022.2.4,59.73162579225539,
MusicListQ3.csv,music\Q3\MT0009521580.wav,1,0,1,0,0,0,0,2,0,2,2,2,,,,,,,,,375.68874515002244,387.12264930002857,387.19163509999635,387.658811900008,,,,,04,1,True,2023-01-16_16h25.42.162,BrainplaybackQuadrants,2022.2.4,59.73162579225539,
MusicListQ3.csv,,1,0,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,04,1,True,2023-01-16_16h25.42.162,BrainplaybackQuadrants,2022.2.4,59.73162579225539,
MusicListQ4.csv,music\Q4\MT0014134790.wav,1,0,1,0,0,1,1,3,0,0,0,0,,,387.658811900008,399.62306867000297,399.6730510999914,,411.6271805000142,,423.67396730998877,435.1242259000428,435.1813633000129,435.6808220000239,,,,,04,1,True,2023-01-16_16h25.42.162,BrainplaybackQuadrants,2022.2.4,59.73162579225539,
MusicListQ4.csv,music\Q4\MT0014475915.wav,1,0,1,0,0,1,1,3,0,1,1,1,,,,,,,,,435.6908856500231,447.1080084000132,447.19105060002767,447.6666436000378,,,,,04,1,True,2023-01-16_16h25.42.162,BrainplaybackQuadrants,2022.2.4,59.73162579225539,
MusicListQ4.csv,music\Q4\MT0012222183.wav,1,0,1,0,0,1,1,3,0,2,2,2,,,,,,,,,447.67464145002305,459.1084029999911,459.1804805000429,459.64735849999124,,,,,04,1,True,2023-01-16_16h25.42.162,BrainplaybackQuadrants,2022.2.4,59.73162579225539,
MusicListQ4.csv,,1,0,1,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,04,1,True,2023-01-16_16h25.42.162,BrainplaybackQuadrants,2022.2.4,59.73162579225539,
MusicListQ1.csv,music\Q1\MT0013235939.wav,1,0,1,0,0,2,2,0,0,0,0,0,,,459.64735849999124,471.60880647001903,471.65891370002646,,483.6215923000127,,495.69311374999234,507.1102190000238,507.20057929999894,507.6684767000261,,,,,04,1,True,2023-01-16_16h25.42.162,BrainplaybackQuadrants,2022.2.4,59.73162579225539,
MusicListQ1.csv,music\Q1\MT0013350034.wav,1,0,1,0,0,2,2,0,0,1,1,1,,,,,,,,,507.6768435500271,519.1106414000387,519.1806774000288,519.6369581000181,,,,,04,1,True,2023-01-16_16h25.42.162,BrainplaybackQuadrants,2022.2.4,59.73162579225539,
MusicListQ1.csv,music\Q1\MT0011821215.wav,1,0,1,0,0,2,2,0,0,2,2,2,,,,,,,,,519.6439958100033,531.1110793999978,531.1508396000136,531.6547790000332,,,,,04,1,True,2023-01-16_16h25.42.162,BrainplaybackQuadrants,2022.2.4,59.73162579225539,
MusicListQ1.csv,,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,04,1,True,2023-01-16_16h25.42.162,BrainplaybackQuadrants,2022.2.4,59.73162579225539,
MusicListQ2.csv,music\Q2\MT0010615428.wav,1,0,1,0,0,3,3,1,0,0,0,2,,,531.6547790000332,543.6115492700076,543.6615111000137,,555.6206575999968,,567.6790882800241,579.1128785000183,579.1807582000038,579.6460752999992,,,,,04,1,True,2023-01-16_16h25.42.162,BrainplaybackQuadrants,2022.2.4,59.73162579225539,
MusicListQ2.csv,music\Q2\MT0012008752.wav,1,0,1,0,0,3,3,1,0,1,1,0,,,,,,,,,579.6461942100374,591.1132999000256,591.1515217000269,591.6715280000353,,,,,04,1,True,2023-01-16_16h25.42.162,BrainplaybackQuadrants,2022.2.4,59.73162579225539,
MusicListQ2.csv,music\Q2\MT0012116237.wav,1,0,1,0,0,3,3,1,0,2,2,1,,,,,,,,,591.6799849500239,603.1137786000036,603.1810376000358,603.7032633000053,,,,,04,1,True,2023-01-16_16h25.42.162,BrainplaybackQuadrants,2022.2.4,59.73162579225539,
MusicListQ2.csv,,1,0,1,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,04,1,True,2023-01-16_16h25.42.162,BrainplaybackQuadrants,2022.2.4,59.73162579225539,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,04,1,True,2023-01-16_16h25.42.162,BrainplaybackQuadrants,2022.2.4,59.73162579225539,
,,,,,,,,,,,,,,,,,,,,,,,,,,603.7032633000053,627.6813573000254,627.7146613000077,628.6813803000259,,,,,,,,
