MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline2.stopped,Noise.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ2.csv,music\Q2\MT0012001409.wav,1,0,1,0,0,0,0,1,0,1,1,1,,,,,,388.4130302399995,399.86309900000015,399.9155364999997,400.40501439999935,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ2.csv,music\Q2\MT0012658636.wav,1,0,1,0,0,0,0,1,0,2,2,0,,,,,,400.4134489399999,411.86353019999933,411.91561459999957,412.4114136999997,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ2.csv,,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ1.csv,music\Q1\MT0013101577.wav,1,0,1,0,0,1,1,0,0,0,0,1,,412.4114136999997,424.3640488599998,424.41397830000005,436.36670460000005,448.4318385399998,459.8669222999997,459.9460067,460.7,,436.36670460000005,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ1.csv,music\Q1\MT0013621344.wav,1,0,1,0,0,1,1,0,0,1,1,0,,,,,,460.4004437199999,471.8657072999995,471.9,472.39620060000016,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ1.csv,music\Q1\MT0015028144.wav,1,0,1,0,0,1,1,0,0,2,2,2,,,,,,472.3992914800003,483.8661360999995,483.90574359999937,484.41404389999934,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ1.csv,,1,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ4.csv,music\Q4\MT0016932218.wav,1,0,1,0,0,2,2,3,0,0,0,2,,484.41404389999934,496.3666469599997,496.4165684999998,508.37638419999985,520.4193555799994,531.8678571999999,531.9459221999996,532.4118619000001,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ4.csv,music\Q4\MT0013955066.wav,1,0,1,0,0,2,2,3,0,1,1,1,,,,,,532.4182448400003,543.8683022999994,543.9258070999995,544.3880549999994,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ4.csv,music\Q4\MT0014584319.wav,1,0,1,0,0,2,2,3,0,2,2,0,,,,,,544.4013157800001,555.8687364999996,555.9062672999999,556.4209234999998,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ4.csv,,1,0,1,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ3.csv,music\Q3\MT0011391187.wav,1,0,1,0,0,3,3,2,0,0,0,1,,556.4209234999998,568.3692425599996,568.4358271000001,580.3748768999994,592.4370270400001,603.8704379000001,603.9465474999997,604.3963969999995,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ3.csv,music\Q3\MT0011667212.wav,1,0,1,0,0,3,3,2,0,1,1,0,,,,,,604.4040284799995,615.8709067,615.9051137999995,616.3921935999997,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ3.csv,music\Q3\MT0012634038.wav,1,0,1,0,0,3,3,2,0,2,2,2,,,,,,616.4038220799995,627.8712996999993,627.9062598,628.4980263999996,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ3.csv,,1,0,1,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
,,,,,,,,,,,,,,,,,,,,,,,,,628.4980263999996,652.4554487999994,652.5054792000001,653.4555120999994,,,,,,,,
