MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Noise.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ2.csv,music\Q2\MT0006862088.wav,0,0,0,0,0,0,0,1,0,0,0,2,28.47960990000138,58.13321170000199,70.08408001000062,70.13428560000102,82.09243360000255,94.13505533000135,105.58523559999958,105.65122170000177,106.10281680000116,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
MusicListQ2.csv,music\Q2\MT0008361425.wav,0,0,0,0,0,0,0,1,0,1,1,0,,,,,,106.10198362000156,117.58562330000132,117.61154410000017,118.11432480000076,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
MusicListQ2.csv,music\Q2\MT0004068560.wav,0,0,0,0,0,0,0,1,0,2,2,1,,,,,,118.11919262999946,129.58596930000203,129.6220957000005,130.09415790000276,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
MusicListQ2.csv,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
MusicListQ4.csv,music\Q4\MT0010665248.wav,0,0,0,0,0,1,1,3,0,0,0,0,,130.09415790000276,142.08642140999945,142.10345620000226,154.0920748000026,166.13729743000076,177.5876414000013,177.64198970000143,178.1102129000028,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
MusicListQ4.csv,music\Q4\MT0007207968.wav,0,0,0,0,0,1,1,3,0,1,1,2,,,,,,178.12124303000164,189.5880142999995,189.63160920000155,190.10413289999997,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
MusicListQ4.csv,music\Q4\MT0003280103.wav,0,0,0,0,0,1,1,3,0,2,2,1,,,,,,190.1044512200009,201.5883872000013,201.6115678999995,202.100695000001,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
MusicListQ4.csv,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
MusicListQ3.csv,music\Q3\MT0005520274.wav,0,0,0,0,0,2,2,2,0,0,0,2,,202.100695000001,214.0889244100028,214.10548010000275,226.09249280000222,238.13984783000123,249.58999940000285,249.64253350000217,250.11055540000234,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
MusicListQ3.csv,music\Q3\MT0007477802.wav,0,0,0,0,0,2,2,2,0,1,1,0,,,,,,250.12325823000137,261.5904136999998,261.6321056000015,262.1074301000008,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
MusicListQ3.csv,music\Q3\MT0002915967.wav,0,0,0,0,0,2,2,2,0,2,2,1,,,,,,262.1072465199999,273.5904210000008,273.6129202000011,274.10425580000083,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
MusicListQ3.csv,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
MusicListQ1.csv,music\Q1\MT0003390733.wav,0,0,0,0,0,3,3,0,0,0,0,1,,274.10425580000083,286.09131311000164,286.10763150000275,298.0935027000014,310.14194903000094,321.59214820000125,321.6421786000028,322.11606799999936,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
MusicListQ1.csv,music\Q1\MT0007147603.wav,0,0,0,0,0,3,3,0,0,1,1,2,,,,,,322.1257222300024,333.5925621999995,333.6318582999993,334.1108714000002,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
MusicListQ1.csv,music\Q1\MT0009378909.wav,0,0,0,0,0,3,3,0,0,2,2,0,,,,,,334.1094084199998,345.59294800000134,345.61144290000084,346.1418569000016,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
MusicListQ1.csv,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
MusicListQ1.csv,music\Q1\MT0003794106.wav,1,0,1,0,0,0,0,0,0,0,0,1,,346.1418569000016,358.12678181000155,358.14339850000033,370.13237389999995,382.17768743000266,393.6278934000002,393.6931196000005,394.1518204000022,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
MusicListQ1.csv,music\Q1\MT0007013069.wav,1,0,1,0,0,0,0,0,0,1,1,2,,,,,,394.1614470300024,405.628300700002,405.67127750000145,406.15383909999946,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
MusicListQ1.csv,music\Q1\MT0002262181.wav,1,0,1,0,0,0,0,0,0,2,2,0,,,,,,406.1618747299995,417.6286832000005,417.6611612000015,418.14955010000267,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
MusicListQ1.csv,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,15,3,True,2023-04-04_17h14.44.495,BrainplaybackQuadrants,2022.2.4,59.93924558034797,
