MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Noise.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ4.csv,music\Q4\MT0001942272.wav,0,0,0,0,0,0,0,3,0,0,0,1,27.6254442999998,49.6489576999993,61.60935729000012,61.659450899998774,73.61633169999914,85.65987876999826,97.11024159999943,97.16561639999782,97.62860879999789,,,,,,15,2,True,2023-04-04_17h03.26.465,BrainplaybackQuadrants,2022.2.4,59.63719118386236,
MusicListQ4.csv,music\Q4\MT0004537445.wav,0,0,0,0,0,0,0,3,0,1,1,0,,,,,,97.62706027999812,109.1110243999974,109.12426459999915,109.63362659999984,,,,,,15,2,True,2023-04-04_17h03.26.465,BrainplaybackQuadrants,2022.2.4,59.63719118386236,
MusicListQ4.csv,music\Q4\MT0009741521.wav,0,0,0,0,0,0,0,3,0,2,2,2,,,,,,109.6440156700006,121.11144499999864,121.14504559999841,121.6184147999993,,,,,,15,2,True,2023-04-04_17h03.26.465,BrainplaybackQuadrants,2022.2.4,59.63719118386236,
MusicListQ4.csv,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,15,2,True,2023-04-04_17h03.26.465,BrainplaybackQuadrants,2022.2.4,59.63719118386236,
MusicListQ3.csv,music\Q3\MT0002006203.wav,0,0,0,0,0,1,1,2,0,0,0,1,,121.6184147999993,133.61180698999777,133.62815430000046,145.6159783999974,157.6623079699999,169.09608359999766,169.17539620000025,169.61363559999882,145.6159783999974,,,,,15,2,True,2023-04-04_17h03.26.465,BrainplaybackQuadrants,2022.2.4,59.63719118386236,
MusicListQ3.csv,music\Q3\MT0007338724.wav,0,0,0,0,0,1,1,2,0,1,1,2,,,,,,169.61268047999909,181.09636730000057,181.1258166000007,181.62109549999877,,,,,,15,2,True,2023-04-04_17h03.26.465,BrainplaybackQuadrants,2022.2.4,59.63719118386236,
MusicListQ3.csv,music\Q3\MT0003396470.wav,0,0,0,0,0,1,1,2,0,2,2,0,,,,,,181.6298325700005,193.09688040000037,193.13522119999834,193.61916479999854,,,,,,15,2,True,2023-04-04_17h03.26.465,BrainplaybackQuadrants,2022.2.4,59.63719118386236,
MusicListQ3.csv,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,15,2,True,2023-04-04_17h03.26.465,BrainplaybackQuadrants,2022.2.4,59.63719118386236,
MusicListQ2.csv,music\Q2\MT0004807446.wav,0,0,0,0,0,2,2,1,0,0,0,0,,193.61916479999854,205.59732229000036,205.63093630000003,217.6054253000002,229.6647044600002,241.09889349999867,241.17565190000096,241.6221732999984,,,,,,15,2,True,2023-04-04_17h03.26.465,BrainplaybackQuadrants,2022.2.4,59.63719118386236,
MusicListQ2.csv,music\Q2\MT0003326925.wav,0,0,0,0,0,2,2,1,0,1,1,1,,,,,,241.6321389699984,253.09922539999752,253.1348904000006,253.61642740000025,,,,,,15,2,True,2023-04-04_17h03.26.465,BrainplaybackQuadrants,2022.2.4,59.63719118386236,
MusicListQ2.csv,music\Q2\MT0007926918.wav,0,0,0,0,0,2,2,1,0,2,2,2,,,,,,253.61589767999828,265.09962520000045,265.1250870999975,265.6119581999992,,,,,,15,2,True,2023-04-04_17h03.26.465,BrainplaybackQuadrants,2022.2.4,59.63719118386236,
MusicListQ2.csv,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,15,2,True,2023-04-04_17h03.26.465,BrainplaybackQuadrants,2022.2.4,59.63719118386236,
MusicListQ1.csv,music\Q1\MT0002538335.wav,0,0,0,0,0,3,3,0,0,0,0,1,,265.6119581999992,277.6000415899991,277.61673289999817,289.60525770000095,301.6508374699984,313.1008846000004,313.15444339999885,313.6171436000004,,,,,,15,2,True,2023-04-04_17h03.26.465,BrainplaybackQuadrants,2022.2.4,59.63719118386236,
MusicListQ1.csv,music\Q1\MT0009010830.wav,0,0,0,0,0,3,3,0,0,1,1,2,,,,,,313.61792957999785,325.1016251000001,325.118046399999,325.6265409000007,,,,,,15,2,True,2023-04-04_17h03.26.465,BrainplaybackQuadrants,2022.2.4,59.63719118386236,
MusicListQ1.csv,music\Q1\MT0004037272.wav,0,0,0,0,0,3,3,0,0,2,2,0,,,,,,325.6350004699994,337.1016896000001,337.13482309999745,337.6473318999997,,,,,,15,2,True,2023-04-04_17h03.26.465,BrainplaybackQuadrants,2022.2.4,59.63719118386236,
MusicListQ1.csv,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,15,2,True,2023-04-04_17h03.26.465,BrainplaybackQuadrants,2022.2.4,59.63719118386236,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,15,2,True,2023-04-04_17h03.26.465,BrainplaybackQuadrants,2022.2.4,59.63719118386236,
MusicListQ1.csv,music\Q1\MT0005737276.wav,1,0,1,0,0,0,0,0,0,0,0,1,,337.6473318999997,349.63545208999966,349.65224709999893,361.64486699999907,373.6863089699978,385.1367461000009,385.185183900001,385.6621865999987,,,,,,15,2,True,2023-04-04_17h03.26.465,BrainplaybackQuadrants,2022.2.4,59.63719118386236,
