MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Noise.stopped,Baseline2.started,Baseline2.stopped,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ4.csv,music\Q4\MT0008665212.wav,0,0,0,0,0,0,0,3,0,0,0,2,15.114868800000295,27.63409260000026,39.58734057000074,39.63739930000065,51.58776520000083,51.58776520000083,63.61741230000007,63.62139551000036,75.08856860000014,75.12783860000036,75.61366610000005,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
MusicListQ4.csv,music\Q4\MT0012888230.wav,0,0,0,0,0,0,0,3,0,1,1,1,,,,,,,,75.62182821000097,87.08904990000065,87.1270710000008,87.60633570000027,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
MusicListQ4.csv,music\Q4\MT0003956612.wav,0,0,0,0,0,0,0,3,0,2,2,0,,,,,,,,87.60570944000011,99.09018920000017,99.11910110000008,99.59546640000008,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
MusicListQ4.csv,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
MusicListQ1.csv,music\Q1\MT0011997914.wav,0,0,0,0,0,1,1,0,0,0,0,1,,99.59546640000008,111.58988087000071,111.60654450000038,123.59094950000053,123.59094950000053,135.6202002,135.62479391000053,147.09125630000017,147.12821800000074,147.62153170000056,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
MusicListQ1.csv,music\Q1\MT0003724610.wav,0,0,0,0,0,1,1,0,0,1,1,0,,,,,,,,147.6245262100003,159.0969679000009,159.13054140000077,,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
MusicListQ1.csv,music\Q1\MT0008575372.wav,0,0,0,0,0,1,1,0,0,2,2,2,,,,,,,,159.64156451000073,171.0920285000002,171.1480027000007,171.60145910000028,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
MusicListQ1.csv,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
MusicListQ2.csv,music\Q2\MT0011259078.wav,0,0,0,0,0,2,2,1,0,0,0,1,,171.60145910000028,183.59249497000056,183.60915280000063,,195.5982384000008,,207.64339421000042,219.09379570000056,219.14670980000028,219.60993580000013,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
MusicListQ2.csv,music\Q2\MT0007627521.wav,0,0,0,0,0,2,2,1,0,1,1,2,,,,,,,,219.61039694000084,231.09420020000016,231.1180256000007,231.61435210000036,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
MusicListQ2.csv,music\Q2\MT0004459450.wav,0,0,0,0,0,2,2,1,0,2,2,0,,,,,,,,231.6274589100005,243.09464460000072,243.13726850000057,243.60581360000015,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
MusicListQ2.csv,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
MusicListQ3.csv,music\Q3\MT0003101727.wav,0,0,0,0,0,3,3,2,0,0,0,0,,243.60581360000015,255.59522417000008,255.6143748000004,267.59791060000043,267.59791060000043,,279.6459981100008,291.09650840000086,291.14958410000054,291.6122514000008,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
MusicListQ3.csv,music\Q3\MT0010468178.wav,0,0,0,0,0,3,3,2,0,1,1,1,,,,,,,,291.61309594000045,303.09693830000015,303.11875320000036,303.61312760000055,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
MusicListQ3.csv,music\Q3\MT0006672286.wav,0,0,0,0,0,3,3,2,0,2,2,2,,,,,,,,303.6135549400003,315.09736710000016,315.1191348000002,315.6432809000007,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
MusicListQ3.csv,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
MusicListQ2.csv,music\Q2\MT0004316859.wav,1,0,1,0,0,0,0,1,0,0,0,2,,315.6432809000007,327.6312557700006,327.6478160000006,,339.6385351000008,,351.6843834100002,363.1324136000003,363.1990872000006,363.6569481000006,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
MusicListQ2.csv,music\Q2\MT0001376988.wav,1,0,1,0,0,0,0,1,0,1,1,0,,,,,,,,363.6656566100002,375.1328332000003,375.1688630000008,375.6541005000008,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
MusicListQ2.csv,music\Q2\MT0009293226.wav,1,0,1,0,0,0,0,1,0,2,2,1,,,,,,,,375.66608301000014,387.1332446000006,387.1691838000006,387.6539558000004,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
MusicListQ2.csv,,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,13,4,True,2023-03-30_16h48.19.003,BrainplaybackQuadrants,2022.2.4,59.68431770676545,
