MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Noise.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline2.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ1.csv,music\Q1\MT0002366291.wav,0,0,0,0,0,0,0,0,0,0,0,1,7.7267886999979964,20.018534999999247,31.964527180000005,32.030356699997355,43.96598009999798,43.96598009999798,56.01446134000071,67.46891519999917,67.5274247999987,67.99142460000076,,,,,,15,1,True,2023-04-04_16h47.02.002,BrainplaybackQuadrants,2022.2.4,59.988686133195046,
MusicListQ1.csv,music\Q1\MT0002391847.wav,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,68.00187784000082,79.46895089999816,79.50740360000054,79.98570529999779,,,,,,15,1,True,2023-04-04_16h47.02.002,BrainplaybackQuadrants,2022.2.4,59.988686133195046,
MusicListQ1.csv,music\Q1\MT0013621344.wav,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,79.98566125999787,91.46974639999826,91.5,91.98315709999952,,,,,,15,1,True,2023-04-04_16h47.02.002,BrainplaybackQuadrants,2022.2.4,59.988686133195046,
MusicListQ1.csv,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,15,1,True,2023-04-04_16h47.02.002,BrainplaybackQuadrants,2022.2.4,59.988686133195046,
MusicListQ3.csv,music\Q3\MT0001967374.wav,0,0,0,0,0,1,1,2,0,0,0,2,,91.98315709999952,103.9697639799997,103.9867759000008,,115.97664959999747,128.02031433999946,139.47106019999774,139.5277939000007,139.97681969999758,,,,,,15,1,True,2023-04-04_16h47.02.002,BrainplaybackQuadrants,2022.2.4,59.988686133195046,
MusicListQ3.csv,music\Q3\MT0011667212.wav,0,0,0,0,0,1,1,2,0,1,1,0,,,,,,,139.9877670599999,151.47141320000082,151.48721010000008,151.98857529999805,,,,,,15,1,True,2023-04-04_16h47.02.002,BrainplaybackQuadrants,2022.2.4,59.988686133195046,
MusicListQ3.csv,music\Q3\MT0001934726.wav,0,0,0,0,0,1,1,2,0,2,2,1,,,,,,,151.98808156000086,163.4718415999996,163.49744479999936,163.9885069999982,,,,,,15,1,True,2023-04-04_16h47.02.002,BrainplaybackQuadrants,2022.2.4,59.988686133195046,
MusicListQ3.csv,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,15,1,True,2023-04-04_16h47.02.002,BrainplaybackQuadrants,2022.2.4,59.988686133195046,
MusicListQ2.csv,music\Q2\MT0012658636.wav,0,0,0,0,0,2,2,1,0,0,0,0,,163.9885069999982,175.97222838000016,175.98862409999856,,187.9769826999982,200.0227033400006,211.47347660000014,211.52691330000016,211.99705170000016,,,,,,15,1,True,2023-04-04_16h47.02.002,BrainplaybackQuadrants,2022.2.4,59.988686133195046,
MusicListQ2.csv,music\Q2\MT0003209662.wav,0,0,0,0,0,2,2,1,0,1,1,2,,,,,,,212.00679133999802,223.47355600000083,223.5181205000008,223.99530349999986,,,,,,15,1,True,2023-04-04_16h47.02.002,BrainplaybackQuadrants,2022.2.4,59.988686133195046,
MusicListQ2.csv,music\Q2\MT0003136077.wav,0,0,0,0,0,2,2,1,0,2,2,1,,,,,,,224.0072445400001,235.47438399999737,235.50783109999975,235.98848089999956,,,,,,15,1,True,2023-04-04_16h47.02.002,BrainplaybackQuadrants,2022.2.4,59.988686133195046,
MusicListQ2.csv,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,15,1,True,2023-04-04_16h47.02.002,BrainplaybackQuadrants,2022.2.4,59.988686133195046,
MusicListQ4.csv,music\Q4\MT0001676671.wav,0,0,0,0,0,3,3,3,0,0,0,1,,235.98848089999956,247.974655779999,247.99133470000015,259.97669929999756,259.97669929999756,272.0254998399978,283.4755155999992,283.5377668000001,283.9914390999984,,,,,,15,1,True,2023-04-04_16h47.02.002,BrainplaybackQuadrants,2022.2.4,59.988686133195046,
MusicListQ4.csv,music\Q4\MT0001768550.wav,0,0,0,0,0,3,3,3,0,1,1,2,,,,,,,283.99222545999874,295.47595349999756,295.4972204000005,295.99537919999784,,,,,,15,1,True,2023-04-04_16h47.02.002,BrainplaybackQuadrants,2022.2.4,59.988686133195046,
MusicListQ4.csv,music\Q4\MT0014584319.wav,0,0,0,0,0,3,3,3,0,2,2,0,,,,,,,296.0092656400011,307.4763450999999,307.5173474000003,308.0219159999979,,,,,,15,1,True,2023-04-04_16h47.02.002,BrainplaybackQuadrants,2022.2.4,59.988686133195046,
MusicListQ4.csv,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,15,1,True,2023-04-04_16h47.02.002,BrainplaybackQuadrants,2022.2.4,59.988686133195046,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,15,1,True,2023-04-04_16h47.02.002,BrainplaybackQuadrants,2022.2.4,59.988686133195046,
MusicListQ1.csv,music\Q1\MT0007439502.wav,1,0,1,0,0,0,0,0,0,0,0,2,,308.0219159999979,320.01007967999976,320.0267924,,332.0172946999992,344.0612159400007,355.5113582999984,355.5677508999979,356.03786839999884,,,,,,15,1,True,2023-04-04_16h47.02.002,BrainplaybackQuadrants,2022.2.4,59.988686133195046,
