MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Noise.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline2.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ3.csv,music\Q3\MT0015682649.wav,0,0,0,0,0,0,0,2,0,0,0,0,38.50222020000001,65.7591382999999,77.71369586999863,77.76367719999871,89.73073439999825,89.73073439999825,101.76403351000009,113.21914279999874,113.27396509999926,,,,,,,16,1,True,2023-04-17_15h34.04.088,BrainplaybackQuadrants,2022.2.4,59.929546825058424,
MusicListQ3.csv,music\Q3\MT0005217073.wav,0,0,0,0,0,0,0,2,0,1,1,1,,,,,,,113.76654670999925,125.21536029999879,125.29171509999833,125.74149789999865,,,,,,16,1,True,2023-04-17_15h34.04.088,BrainplaybackQuadrants,2022.2.4,59.929546825058424,
MusicListQ3.csv,music\Q3\MT0030422114.wav,0,0,0,0,0,0,0,2,0,2,2,2,,,,,,,125.74869090999856,137.21576099999947,137.2539887999992,137.7386405999987,,,,,,16,1,True,2023-04-17_15h34.04.088,BrainplaybackQuadrants,2022.2.4,59.929546825058424,
MusicListQ3.csv,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,16,1,True,2023-04-17_15h34.04.088,BrainplaybackQuadrants,2022.2.4,59.929546825058424,
MusicListQ4.csv,music\Q4\MT0030319227.wav,0,0,0,0,0,1,1,3,0,0,0,0,,137.7386405999987,149.71616576999912,149.74951089999922,,161.7222647999988,173.7836837799994,185.21745179999925,185.29166729999997,185.7463100999994,,,,,,16,1,True,2023-04-17_15h34.04.088,BrainplaybackQuadrants,2022.2.4,59.929546825058424,
MusicListQ4.csv,music\Q4\MT0033391280.wav,0,0,0,0,0,1,1,3,0,1,1,2,,,,,,,185.75077630999985,197.21788989999914,197.25393409999924,197.75168539999868,,,,,,16,1,True,2023-04-17_15h34.04.088,BrainplaybackQuadrants,2022.2.4,59.929546825058424,
MusicListQ4.csv,music\Q4\MT0007064420.wav,0,0,0,0,0,1,1,3,0,2,2,1,,,,,,,197.7511751099988,209.21824599999854,209.2533227999993,209.74576109999907,,,,,,16,1,True,2023-04-17_15h34.04.088,BrainplaybackQuadrants,2022.2.4,59.929546825058424,
MusicListQ4.csv,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,16,1,True,2023-04-17_15h34.04.088,BrainplaybackQuadrants,2022.2.4,59.929546825058424,
MusicListQ1.csv,music\Q1\MT0006747288.wav,0,0,0,0,0,2,2,0,0,0,0,1,,209.74576109999907,221.71871686999947,221.75140099999953,,233.72374019999916,245.78620597999978,257.20307049999974,257.2923194999985,257.72747999999956,,,,,,16,1,True,2023-04-17_15h34.04.088,BrainplaybackQuadrants,2022.2.4,59.929546825058424,
MusicListQ1.csv,music\Q1\MT0028495262.wav,0,0,0,0,0,2,2,0,0,1,1,0,,,,,,,257.73623270999957,269.20353799999975,269.2430267,269.72736239999904,,,,,,16,1,True,2023-04-17_15h34.04.088,BrainplaybackQuadrants,2022.2.4,59.929546825058424,
MusicListQ1.csv,music\Q1\MT0032235381.wav,0,0,0,0,0,2,2,0,0,2,2,2,,,,,,,269.7368943099987,281.2040100999984,281.24061579999943,281.7375908999984,,,,,,16,1,True,2023-04-17_15h34.04.088,BrainplaybackQuadrants,2022.2.4,59.929546825058424,
MusicListQ1.csv,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,16,1,True,2023-04-17_15h34.04.088,BrainplaybackQuadrants,2022.2.4,59.929546825058424,
MusicListQ2.csv,music\Q2\MT0032957418.wav,0,0,0,0,0,3,3,1,0,0,0,2,,281.7375908999984,293.7045679699997,293.7379288999982,305.70486099999835,305.70486099999835,317.73857700999866,329.2056645999983,329.2430654999989,329.7332738999994,317.737085499999,,,,,16,1,True,2023-04-17_15h34.04.088,BrainplaybackQuadrants,2022.2.4,59.929546825058424,
MusicListQ2.csv,music\Q2\MT0006746691.wav,0,0,0,0,0,3,3,1,0,1,1,1,,,,,,,329.73901841,341.20606679999946,341.24320739999894,341.72225439999966,,,,,,16,1,True,2023-04-17_15h34.04.088,BrainplaybackQuadrants,2022.2.4,59.929546825058424,
MusicListQ2.csv,music\Q2\MT0028345470.wav,0,0,0,0,0,3,3,1,0,2,2,0,,,,,,,341.7221358399987,353.20653279999897,353.23173439999846,353.77691609999965,,,,,,16,1,True,2023-04-17_15h34.04.088,BrainplaybackQuadrants,2022.2.4,59.929546825058424,
MusicListQ2.csv,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,16,1,True,2023-04-17_15h34.04.088,BrainplaybackQuadrants,2022.2.4,59.929546825058424,
