MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,WelcomeMessage.stopped,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Noise.stopped,Baseline2.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ1.csv,music\Q1\MT0001680969.wav,0,0,0,0,0,0,0,0,0,0,0,0,45.361318799999935,58.90190219999931,58.90190219999931,70.85658670000048,70.90649099999973,82.86250629999995,94.90749969999924,106.35786109999935,106.42084380000051,106.87181779999992,,,,,,,05,1,True,2023-01-26_18h02.34.260,BrainplaybackQuadrants,2022.2.4,59.86597206154524,
MusicListQ1.csv,music\Q1\MT0032405040.wav,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,106.87462009999908,118.35830569999962,118.38167749999957,118.87352610000016,,,,,,,05,1,True,2023-01-26_18h02.34.260,BrainplaybackQuadrants,2022.2.4,59.86597206154524,
MusicListQ1.csv,music\Q1\MT0003669917.wav,0,0,0,0,0,0,0,0,0,2,2,1,,,,,,,118.8750859000007,130.35880779999934,130.38261649999913,130.87709019999966,,,,,,,05,1,True,2023-01-26_18h02.34.260,BrainplaybackQuadrants,2022.2.4,59.86597206154524,
MusicListQ1.csv,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,05,1,True,2023-01-26_18h02.34.260,BrainplaybackQuadrants,2022.2.4,59.86597206154524,
MusicListQ3.csv,music\Q3\MT0003053135.wav,0,0,0,0,0,1,1,2,0,0,0,1,,,130.87709019999966,142.85931369999963,142.89264899999944,154.86141879999923,167.0102966000006,178.36057149999942,178.5116906000003,178.8816650000008,154.86141879999923,,,,,,05,1,True,2023-01-26_18h02.34.260,BrainplaybackQuadrants,2022.2.4,59.86597206154524,
MusicListQ3.csv,music\Q3\MT0001284801.wav,0,0,0,0,0,1,1,2,0,1,1,0,,,,,,,178.89402030000056,190.36104859999978,190.40258320000066,190.88063800000054,,,,,,,05,1,True,2023-01-26_18h02.34.260,BrainplaybackQuadrants,2022.2.4,59.86597206154524,
MusicListQ3.csv,music\Q3\MT0031951901.wav,0,0,0,0,0,1,1,2,0,2,2,2,,,,,,,190.8945489999991,202.3615133000003,202.4021589999993,202.88404179999998,,,,,,,05,1,True,2023-01-26_18h02.34.260,BrainplaybackQuadrants,2022.2.4,59.86597206154524,
MusicListQ3.csv,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,05,1,True,2023-01-26_18h02.34.260,BrainplaybackQuadrants,2022.2.4,59.86597206154524,
MusicListQ4.csv,music\Q4\MT0033461826.wav,0,0,0,0,0,2,2,3,0,0,0,2,,,202.88404179999998,214.86207309999992,214.89538039999934,226.8717016999999,238.9130336000002,250.3633905000006,250.41326010000012,250.88519649999944,,,,,,,05,1,True,2023-01-26_18h02.34.260,BrainplaybackQuadrants,2022.2.4,59.86597206154524,
MusicListQ4.csv,music\Q4\MT0003778826.wav,0,0,0,0,0,2,2,3,0,1,1,1,,,,,,,250.89668910000037,262.3637834000001,262.40212000000065,262.8866839000002,,,,,,,05,1,True,2023-01-26_18h02.34.260,BrainplaybackQuadrants,2022.2.4,59.86597206154524,
MusicListQ4.csv,music\Q4\MT0000922312.wav,0,0,0,0,0,2,2,3,0,2,2,0,,,,,,,262.8973267000005,274.3642904999997,274.4022695999993,274.8839845000002,,,,,,,05,1,True,2023-01-26_18h02.34.260,BrainplaybackQuadrants,2022.2.4,59.86597206154524,
MusicListQ4.csv,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,05,1,True,2023-01-26_18h02.34.260,BrainplaybackQuadrants,2022.2.4,59.86597206154524,
MusicListQ2.csv,music\Q2\MT0033097471.wav,0,0,0,0,0,3,3,1,0,0,0,2,,,274.8839845000002,286.864805,286.8980035000004,298.84858449999956,310.88239599999946,322.3494413999997,322.3925366000003,322.8715166999991,,310.87409750000006,,,,,05,1,True,2023-01-26_18h02.34.260,BrainplaybackQuadrants,2022.2.4,59.86597206154524,
