musics,n,order
music\Q4\MT0008342962.wav,1.0,1.0
music\Q4\MT0005608787.wav,1.0,0.0
music\Q4\MT0003778826.wav,1.0,2.0

extraInfo
participant,08
session,4
trigger,True
date,2023-02-13_18h46.03.605
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.96638284809497
﻿musics,n,order
music\Q3\MT0006555035.wav,1.0,1.0
music\Q3\MT0004232099.wav,1.0,0.0
music\Q3\MT0003053135.wav,1.0,2.0

extraInfo
participant,08
session,4
trigger,True
date,2023-02-13_18h46.03.605
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.96638284809497
﻿musics,n,order
music\Q2\MT0007535042.wav,1.0,2.0
music\Q2\MT0005515169.wav,1.0,1.0
music\Q2\MT0004447086.wav,1.0,0.0

extraInfo
participant,08
session,4
trigger,True
date,2023-02-13_18h46.03.605
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.96638284809497
﻿musics,n,order
music\Q1\MT0008401073.wav,1.0,1.0
music\Q1\MT0005163122.wav,1.0,2.0
music\Q1\MT0003669917.wav,1.0,0.0

extraInfo
participant,08
session,4
trigger,True
date,2023-02-13_18h46.03.605
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.96638284809497
﻿musics,n,order
music\Q2\MT0001376988.wav,1.0,0.0
music\Q2\MT0011959819.wav,1.0,2.0
music\Q2\MT0004882280.wav,1.0,1.0

extraInfo
participant,08
session,4
trigger,True
date,2023-02-13_18h46.03.605
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.96638284809497
﻿musics,n,order
music\Q3\MT0000534539.wav,1.0,1.0
music\Q3\MT0011158114.wav,1.0,2.0
music\Q3\MT0003420996.wav,1.0,0.0

extraInfo
participant,08
session,4
trigger,True
date,2023-02-13_18h46.03.605
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.96638284809497
﻿musics,n,order
music\Q1\MT0001217651.wav,1.0,1.0
music\Q1\MT0012742379.wav,1.0,0.0
music\Q1\MT0004141823.wav,1.0,2.0

extraInfo
participant,08
session,4
trigger,True
date,2023-02-13_18h46.03.605
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.96638284809497
﻿musics,n,order
music\Q4\MT0000636335.wav,1.0,1.0
music\Q4\MT0013486354.wav,1.0,0.0
music\Q4\MT0004759106.wav,1.0,2.0

extraInfo
participant,08
session,4
trigger,True
date,2023-02-13_18h46.03.605
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,59.96638284809497
