MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline2.stopped,Noise.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ2.csv,music\Q2\MT0010490157.wav,0,0,0,0,0,0,0,1,0,0,0,2,11.639124899998933,31.042218199998388,42.99888743999836,43.048213699999906,55.00790119999874,67.0491326199979,78.50004029999945,78.55783999999949,79.02346119999856,,,,,,,10,4,True,2023-03-02_15h30.09.550,BrainplaybackQuadrants,2022.2.4,59.94955844194191,
MusicListQ2.csv,music\Q2\MT0030124886.wav,0,0,0,0,0,0,0,1,0,1,1,0,,,,,,79.03343241999828,90.5004947999987,90.53780039999947,91.02237799999966,,,,,,,10,4,True,2023-03-02_15h30.09.550,BrainplaybackQuadrants,2022.2.4,59.94955844194191,
MusicListQ2.csv,music\Q2\MT0032957418.wav,0,0,0,0,0,0,0,1,0,2,2,1,,,,,,91.03388531999808,102.5011158999987,102.53815689999828,103.00779499999953,,,,,,,10,4,True,2023-03-02_15h30.09.550,BrainplaybackQuadrants,2022.2.4,59.94955844194191,
MusicListQ2.csv,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,10,4,True,2023-03-02_15h30.09.550,BrainplaybackQuadrants,2022.2.4,59.94955844194191,
MusicListQ1.csv,music\Q1\MT0032235381.wav,0,0,0,0,0,1,1,0,0,0,0,1,,103.00779499999953,115.00082913999867,115.01748599999883,126.98514019999857,139.0183714199982,150.48545999999988,150.5275987999994,151.00077789999887,139.0040861999987,,,,,,10,4,True,2023-03-02_15h30.09.550,BrainplaybackQuadrants,2022.2.4,59.94955844194191,
MusicListQ1.csv,music\Q1\MT0030484925.wav,0,0,0,0,0,1,1,0,0,1,1,0,,,,,,151.00269617999874,162.4864495999991,162.5076984999996,163.00120679999964,,,,,,,10,4,True,2023-03-02_15h30.09.550,BrainplaybackQuadrants,2022.2.4,59.94955844194191,
MusicListQ1.csv,music\Q1\MT0011786799.wav,0,0,0,0,0,1,1,0,0,2,2,2,,,,,,163.00316837999816,174.48717529999885,174.5094268999983,175.02215169999909,,,,,,,10,4,True,2023-03-02_15h30.09.550,BrainplaybackQuadrants,2022.2.4,59.94955844194191,
MusicListQ1.csv,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,10,4,True,2023-03-02_15h30.09.550,BrainplaybackQuadrants,2022.2.4,59.94955844194191,
MusicListQ4.csv,music\Q4\MT0033391280.wav,0,0,0,0,0,2,2,3,0,0,0,1,,175.02215169999909,186.9876460399988,187.0376422999998,198.9895990999994,211.0552095599982,222.48895769999945,222.56979819999833,223.02097129999856,,198.9895990999994,,,,,10,4,True,2023-03-02_15h30.09.550,BrainplaybackQuadrants,2022.2.4,59.94955844194191,
MusicListQ4.csv,music\Q4\MT0031807708.wav,0,0,0,0,0,2,2,3,0,1,1,0,,,,,,223.02226961999875,234.48933439999928,234.52965179999956,235.0167778999985,,,,,,,10,4,True,2023-03-02_15h30.09.550,BrainplaybackQuadrants,2022.2.4,59.94955844194191,
MusicListQ4.csv,music\Q4\MT0012151268.wav,0,0,0,0,0,2,2,3,0,2,2,2,,,,,,235.02272491999864,246.48975769999925,246.52971660000003,247.02738639999916,,,,,,,10,4,True,2023-03-02_15h30.09.550,BrainplaybackQuadrants,2022.2.4,59.94955844194191,
MusicListQ4.csv,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,10,4,True,2023-03-02_15h30.09.550,BrainplaybackQuadrants,2022.2.4,59.94955844194191,
MusicListQ3.csv,music\Q3\MT0009437817.wav,0,0,0,0,0,3,3,2,0,0,0,2,,247.02738639999916,258.99020513999824,259.0418463999995,270.99766949999866,283.0577502599994,294.49146719999953,294.5596372,295.023503299999,,,,,,,10,4,True,2023-03-02_15h30.09.550,BrainplaybackQuadrants,2022.2.4,59.94955844194191,
MusicListQ3.csv,music\Q3\MT0029861029.wav,0,0,0,0,0,3,3,2,0,1,1,0,,,,,,295.0250016199996,306.49190349999844,306.52982129999873,307.0285867999992,,,,,,,10,4,True,2023-03-02_15h30.09.550,BrainplaybackQuadrants,2022.2.4,59.94955844194191,
MusicListQ3.csv,music\Q3\MT0030422114.wav,0,0,0,0,0,3,3,2,0,2,2,1,,,,,,307.0253027199986,318.4922770999983,318.5283339999987,319.07633649999843,,,,,,,10,4,True,2023-03-02_15h30.09.550,BrainplaybackQuadrants,2022.2.4,59.94955844194191,
MusicListQ3.csv,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,10,4,True,2023-03-02_15h30.09.550,BrainplaybackQuadrants,2022.2.4,59.94955844194191,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,10,4,True,2023-03-02_15h30.09.550,BrainplaybackQuadrants,2022.2.4,59.94955844194191,
MusicListQ2.csv,music\Q2\MT0004958762.wav,1,0,1,0,0,0,0,1,0,0,0,1,,319.07633649999843,331.0594336399987,331.07606339999984,343.0693134999983,355.12695485999797,366.5606597999995,366.6394016999984,367.09358059999977,,,,,,,10,4,True,2023-03-02_15h30.09.550,BrainplaybackQuadrants,2022.2.4,59.94955844194191,
MusicListQ2.csv,music\Q2\MT0000011975.wav,1,0,1,0,0,0,0,1,0,1,1,0,,,,,,367.09403211999853,378.56108369999856,378.59965209999973,379.0855776999997,,,,,,,10,4,True,2023-03-02_15h30.09.550,BrainplaybackQuadrants,2022.2.4,59.94955844194191,
