MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,WelcomeMessage.stopped,Baseline1.started,Noise.started,Baseline1.stopped,Noise.stopped,Baseline2.started,Baseline2.stopped,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ2.csv,music\Q2\MT0006746691.wav,0,0,0,0,0,0,0,1,0,0,0,1,23.775512999998682,35.93387989999974,35.93387989999974,47.89293074999932,47.94294599999921,59.89389940000001,59.89389940000001,71.91332489999877,71.92703505000009,83.39426569999887,83.43266249999942,83.91350559999955,,,,,sub-02,1,True,2023-01-04_16h19.12.938,BrainplaybackQuadrants,2022.2.4,59.89810134982964,
MusicListQ2.csv,music\Q2\MT0032957418.wav,0,0,0,0,0,0,0,1,0,1,1,2,,,,,,,,,83.9275313499993,95.37790489999861,95.4336332999992,95.89165879999928,,,,,sub-02,1,True,2023-01-04_16h19.12.938,BrainplaybackQuadrants,2022.2.4,59.89810134982964,
MusicListQ2.csv,music\Q2\MT0028345470.wav,0,0,0,0,0,0,0,1,0,2,2,0,,,,,,,,,95.8945576999995,107.37844489999952,107.40389340000002,107.88360439999997,,,,,sub-02,1,True,2023-01-04_16h19.12.938,BrainplaybackQuadrants,2022.2.4,59.89810134982964,
MusicListQ2.csv,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,sub-02,1,True,2023-01-04_16h19.12.938,BrainplaybackQuadrants,2022.2.4,59.89810134982964,
MusicListQ4.csv,music\Q4\MT0033391280.wav,0,0,0,0,0,1,1,3,0,0,0,2,,,107.88360439999997,119.87886854999942,119.8955489,,131.88364799999908,,143.91309469999942,155.3801700999993,155.41354629999842,155.8848414999993,,,,,sub-02,1,True,2023-01-04_16h19.12.938,BrainplaybackQuadrants,2022.2.4,59.89810134982964,
MusicListQ4.csv,music\Q4\MT0030319227.wav,0,0,0,0,0,1,1,3,0,1,1,0,,,,,,,,,155.89674749999904,167.38065029999962,167.39721149999968,167.88342159999956,,,,,sub-02,1,True,2023-01-04_16h19.12.938,BrainplaybackQuadrants,2022.2.4,59.89810134982964,
MusicListQ4.csv,music\Q4\MT0007064420.wav,0,0,0,0,0,1,1,3,0,2,2,1,,,,,,,,,167.89730289999898,179.38108509999984,179.4028471999991,179.90390249999837,,,,,sub-02,1,True,2023-01-04_16h19.12.938,BrainplaybackQuadrants,2022.2.4,59.89810134982964,
MusicListQ4.csv,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,sub-02,1,True,2023-01-04_16h19.12.938,BrainplaybackQuadrants,2022.2.4,59.89810134982964,
MusicListQ1.csv,music\Q1\MT0032235381.wav,0,0,0,0,0,2,2,0,0,0,0,2,,,179.90390249999837,191.88155834999907,191.9148596999985,203.88315629999852,203.88315629999852,215.8971296999989,215.8990028999997,227.38288529999954,227.4037346999994,227.8940963999994,,,,,sub-02,1,True,2023-01-04_16h19.12.938,BrainplaybackQuadrants,2022.2.4,59.89810134982964,
MusicListQ1.csv,music\Q1\MT0006747288.wav,0,0,0,0,0,2,2,0,0,1,1,1,,,,,,,,,227.8995978999992,239.3833666999999,239.41563249999854,239.89660249999906,,,,,sub-02,1,True,2023-01-04_16h19.12.938,BrainplaybackQuadrants,2022.2.4,59.89810134982964,
MusicListQ1.csv,music\Q1\MT0028495262.wav,0,0,0,0,0,2,2,0,0,2,2,0,,,,,,,,,239.9000363999985,251.38369239999884,251.40425439999854,251.89051409999956,,,,,sub-02,1,True,2023-01-04_16h19.12.938,BrainplaybackQuadrants,2022.2.4,59.89810134982964,
MusicListQ1.csv,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,sub-02,1,True,2023-01-04_16h19.12.938,BrainplaybackQuadrants,2022.2.4,59.89810134982964,
MusicListQ3.csv,music\Q3\MT0030422114.wav,0,0,0,0,0,3,3,2,0,0,0,2,,,251.89051409999956,263.8842441499992,263.9009150999991,275.8848823999997,275.8848823999997,287.8929587999992,287.9018030999996,299.3854995999991,299.40276939999967,299.9059047999999,,,,,sub-02,1,True,2023-01-04_16h19.12.938,BrainplaybackQuadrants,2022.2.4,59.89810134982964,
MusicListQ3.csv,music\Q3\MT0005217073.wav,0,0,0,0,0,3,3,2,0,1,1,1,,,,,,,,,299.9188448499999,311.38604269999996,311.42390579999847,311.8887114999998,,,,,sub-02,1,True,2023-01-04_16h19.12.938,BrainplaybackQuadrants,2022.2.4,59.89810134982964,
MusicListQ3.csv,music\Q3\MT0015682649.wav,0,0,0,0,0,3,3,2,0,2,2,0,,,,,,,,,311.9026679999988,323.38651089999985,323.41461809999964,323.9205930999997,,,,,sub-02,1,True,2023-01-04_16h19.12.938,BrainplaybackQuadrants,2022.2.4,59.89810134982964,
MusicListQ3.csv,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,sub-02,1,True,2023-01-04_16h19.12.938,BrainplaybackQuadrants,2022.2.4,59.89810134982964,
