n,order,
2.0,0.0, 1.0

extraInfo
participant,11
session,2
trigger,True
date,2023-03-08_17h52.52.661
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,60.002004066915774
