musics,n,order
music\Q3\MT0011612883.wav,1.0,1.0
music\Q3\MT0006919273.wav,1.0,0.0
music\Q3\MT0006410285.wav,1.0,2.0

extraInfo
participant,18
session,3
trigger,True
date,2023-08-03_16h00.51.196
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,60.88787923285079
﻿musics,n,order
music\Q2\MT0012168286.wav,1.0,2.0
music\Q2\MT0007659703.wav,1.0,0.0
music\Q2\MT0007413949.wav,1.0,1.0

extraInfo
participant,18
session,3
trigger,True
date,2023-08-03_16h00.51.196
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,60.88787923285079
﻿musics,n,order
music\Q1\MT0013590244.wav,1.0,0.0
music\Q1\MT0008644609.wav,1.0,2.0
music\Q1\MT0008363839.wav,1.0,1.0

extraInfo
participant,18
session,3
trigger,True
date,2023-08-03_16h00.51.196
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,60.88787923285079
﻿musics,n,order
music\Q4\MT0014507179.wav,1.0,0.0
music\Q4\MT0008686594.wav,1.0,2.0
music\Q4\MT0008167476.wav,1.0,1.0

extraInfo
participant,18
session,3
trigger,True
date,2023-08-03_16h00.51.196
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,60.88787923285079
﻿musics,n,order
music\Q4\MT0009289348.wav,1.0,0.0
music\Q4\MT0011938737.wav,1.0,1.0
music\Q4\MT0002834532.wav,1.0,2.0

extraInfo
participant,18
session,3
trigger,True
date,2023-08-03_16h00.51.196
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,60.88787923285079
﻿musics,n,order
music\Q3\MT0007265208.wav,1.0,2.0
music\Q3\MT0009220462.wav,1.0,1.0
music\Q3\MT0002485672.wav,1.0,0.0

extraInfo
participant,18
session,3
trigger,True
date,2023-08-03_16h00.51.196
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,60.88787923285079
﻿musics,n,order
music\Q2\MT0007812490.wav,1.0,1.0
music\Q2\MT0010310896.wav,1.0,0.0
music\Q2\MT0003900455.wav,1.0,2.0

extraInfo
participant,18
session,3
trigger,True
date,2023-08-03_16h00.51.196
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,60.88787923285079
﻿musics,n,order
music\Q1\MT0008972801.wav,1.0,0.0
music\Q1\MT0011574534.wav,1.0,1.0
music\Q1\MT0003243311.wav,1.0,2.0

extraInfo
participant,18
session,3
trigger,True
date,2023-08-03_16h00.51.196
expName,BrainplaybackQuadrants
psychopyVersion,2022.2.4
frameRate,60.88787923285079
