MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,WelcomeMessage.stopped,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline2.stopped,Noise.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ4.csv,music\Q4\MT0033461826.wav,0,0,0,0,0,0,0,3,0,0,0,2,52.424287800036836,66.18216289998963,66.18216289998963,78.13632547004381,78.18701480003074,90.1456976000336,102.1871528100106,113.6382230000454,113.68817080004374,114.16654740000376,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ4.csv,music\Q4\MT0000922312.wav,0,0,0,0,0,0,0,3,0,1,1,0,,,,,,,114.17153831003235,125.63807740004268,125.67498240002897,126.16090070002247,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ4.csv,music\Q4\MT0003778826.wav,0,0,0,0,0,0,0,3,0,2,2,1,,,,,,,126.1719534099917,137.63906380004482,137.6748113000067,138.15784699999494,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ4.csv,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ1.csv,music\Q1\MT0003669917.wav,0,0,0,0,0,1,1,0,0,0,0,1,,,138.15784699999494,150.1394971700385,150.17226399999345,162.14550189999864,174.1904078099993,185.64343019999797,185.70681629999308,,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ1.csv,music\Q1\MT0032405040.wav,0,0,0,0,0,1,1,0,0,1,1,2,,,,,,,186.1741447400185,197.64067039999645,197.68543240003055,198.15459230000852,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ1.csv,music\Q1\MT0001680969.wav,0,0,0,0,0,1,1,0,0,2,2,0,,,,,,,198.1573513400275,209.64111309999134,209.6642545000068,210.16454050003085,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ1.csv,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ2.csv,music\Q2\MT0001962373.wav,0,0,0,0,0,2,2,1,0,0,0,0,,,210.16454050003085,222.14151517003774,222.17491870000958,234.12881510000443,246.1757476100116,257.6434263000265,257.68515189999016,258.1640790000092,246.17103940004017,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ2.csv,music\Q2\MT0004447086.wav,0,0,0,0,0,2,2,1,0,1,1,1,,,,,,,258.1761728099896,269.643326600024,269.685194300022,270.16538060002495,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ2.csv,music\Q2\MT0033097471.wav,0,0,0,0,0,2,2,1,0,2,2,2,,,,,,,270.1766151100397,281.63057470001513,281.68599230004475,282.15096510003787,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ2.csv,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ3.csv,music\Q3\MT0003053135.wav,0,0,0,0,0,3,3,2,0,0,0,1,,,282.15096510003787,294.13098187004215,294.1640318999998,306.13589800003683,318.26488355997714,329.6288085000124,329.7844222999993,330.15206960000796,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ3.csv,music\Q3\MT0031951901.wav,0,0,0,0,0,3,3,2,0,1,1,2,,,,,,,330.1621396100032,341.6298185000196,341.66567940003006,342.15372130001197,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ3.csv,music\Q3\MT0001284801.wav,0,0,0,0,0,3,3,2,0,2,2,0,,,,,,,342.1631657100166,353.6296629999997,353.6637936999905,354.1869955000002,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ3.csv,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ4.csv,music\Q4\MT0003454112.wav,1,0,1,0,0,0,0,3,0,0,0,0,,,354.1869955000002,366.1801156700123,366.19677110004704,378.18583209998906,390.23097821001426,401.6819947999902,401.73448770004325,402.2069355000276,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ4.csv,music\Q4\MT0031886830.wav,1,0,1,0,0,0,0,3,0,1,1,2,,,,,,,402.2152956100413,413.68245110003045,413.7322025000467,414.20675770001253,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ4.csv,music\Q4\MT0001394087.wav,1,0,1,0,0,0,0,3,0,2,2,1,,,,,,,414.2158028100035,425.68284850002965,425.72411250002915,426.211487499997,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ4.csv,,1,0,1,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ2.csv,music\Q2\MT0002385077.wav,1,0,1,0,0,1,1,1,0,0,0,1,,,426.211487499997,438.182739470026,438.2160812999937,450.1839713000227,462.21696400999787,473.68756720004603,473.73786540003493,,462.21710470004473,450.1839713000227,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ2.csv,music\Q2\MT0004293364.wav,1,0,1,0,0,1,1,1,0,1,1,0,,,,,,,474.23461691001427,485.68514650000725,485.7351057000342,486.2028566999943,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ2.csv,music\Q2\MT0030214520.wav,1,0,1,0,0,1,1,1,0,2,2,2,,,,,,,486.2017638400197,497.6855181000428,497.70497040002374,498.215588400024,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ2.csv,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ1.csv,music\Q1\MT0031922089.wav,1,0,1,0,0,2,2,0,0,0,0,2,,,498.215588400024,510.18602127004414,510.21869860001607,522.1726786000072,534.2060842100415,545.6731344000436,545.7164573000045,546.1921305000433,534.192926000047,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ1.csv,music\Q1\MT0003594672.wav,1,0,1,0,0,2,2,0,0,1,1,0,,,,,,,546.1898042399903,557.6739522000425,557.6963861000258,558.1913582000416,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ1.csv,music\Q1\MT0002033629.wav,1,0,1,0,0,2,2,0,0,2,2,1,,,,,,,558.1902503400111,569.6743551000254,569.6949181000236,570.2092519000289,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ1.csv,,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ3.csv,music\Q3\MT0030252676.wav,1,0,1,0,0,3,3,2,0,0,0,2,,,570.2092519000289,582.1745168699883,582.2248376000207,594.1870282000164,606.2253758100211,617.6757951999898,617.7262149000308,618.2003494999954,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ3.csv,music\Q3\MT0003037596.wav,1,0,1,0,0,3,3,2,0,1,1,0,,,,,,,618.2091180100339,629.6762452000403,629.7163468000363,630.2032329000067,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ3.csv,music\Q3\MT0001533920.wav,1,0,1,0,0,3,3,2,0,2,2,1,,,,,,,630.2096088099876,641.676680500037,641.715513800038,642.2982054000022,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
MusicListQ3.csv,,1,0,1,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,07,1,True,2023-02-06_15h06.15.075,BrainplaybackQuadrants,2022.2.4,59.957717816518254,
,,,,,,,,,,,,,,,,,,,,,,,,,,642.2982054000022,666.2609049000312,666.3111538999947,667.2608317999984,,,,,,,,
