MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Noise.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline2.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ4.csv,music\Q4\MT0028813196.wav,1,0,1,0,0,0,0,3,0,0,0,0,,317.3315510000002,329.3215389800005,329.3383838999998,,341.3259014000005,353.3720501400007,364.8229943000006,364.8851211000001,365.3406882999998,,,,,,13,1,True,2023-03-30_16h15.13.940,BrainplaybackQuadrants,2022.2.4,61.04059565856708,
MusicListQ4.csv,music\Q4\MT0000922312.wav,1,0,1,0,0,0,0,3,0,1,1,2,,,,,,,365.35566044000046,376.82340380000005,376.8664497999998,377.3458909000001,,,,,,13,1,True,2023-03-30_16h15.13.940,BrainplaybackQuadrants,2022.2.4,61.04059565856708,
MusicListQ4.csv,music\Q4\MT0010842738.wav,1,0,1,0,0,0,0,3,0,2,2,1,,,,,,,377.3560586400003,388.8238529999999,388.8575947999998,389.34305790000053,,,,,,13,1,True,2023-03-30_16h15.13.940,BrainplaybackQuadrants,2022.2.4,61.04059565856708,
MusicListQ4.csv,,1,0,1,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,13,1,True,2023-03-30_16h15.13.940,BrainplaybackQuadrants,2022.2.4,61.04059565856708,
MusicListQ3.csv,music\Q3\MT0014737299.wav,1,0,1,0,0,1,1,2,0,0,0,0,,389.34305790000053,401.32412798000024,401.3576311000006,413.34154750000016,413.34154750000016,425.37450164000023,436.8256009000006,436.88533259999986,437.34054730000025,,,,,,13,1,True,2023-03-30_16h15.13.940,BrainplaybackQuadrants,2022.2.4,61.04059565856708,
MusicListQ3.csv,music\Q3\MT0007652281.wav,1,0,1,0,0,1,1,2,0,1,1,1,,,,,,,437.34184206000066,448.8260363999998,448.84605290000036,449.34239549999984,,,,,,13,1,True,2023-03-30_16h15.13.940,BrainplaybackQuadrants,2022.2.4,61.04059565856708,
MusicListQ3.csv,music\Q3\MT0001284801.wav,1,0,1,0,0,1,1,2,0,2,2,2,,,,,,,449.34225736000064,460.82647910000014,460.84625740000047,461.3477853000004,,,,,,13,1,True,2023-03-30_16h15.13.940,BrainplaybackQuadrants,2022.2.4,61.04059565856708,
MusicListQ3.csv,,1,0,1,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,13,1,True,2023-03-30_16h15.13.940,BrainplaybackQuadrants,2022.2.4,61.04059565856708,
MusicListQ1.csv,music\Q1\MT0026753827.wav,1,0,1,0,0,2,2,0,0,0,0,0,,461.3477853000004,473.3267570800006,473.36025900000004,,485.33634770000026,497.37710634000035,508.82821200000035,508.8854430000001,509.3522810000004,,,,,,13,1,True,2023-03-30_16h15.13.940,BrainplaybackQuadrants,2022.2.4,61.04059565856708,
MusicListQ1.csv,music\Q1\MT0001680969.wav,1,0,1,0,0,2,2,0,0,1,1,2,,,,,,,509.36086733999986,520.8286607,520.8652436000002,521.3451544999998,,,,,,13,1,True,2023-03-30_16h15.13.940,BrainplaybackQuadrants,2022.2.4,61.04059565856708,
MusicListQ1.csv,music\Q1\MT0009897495.wav,1,0,1,0,0,2,2,0,0,2,2,1,,,,,,,521.3449556600003,532.8290838000003,532.8457226999999,533.3535545000004,,,,,,13,1,True,2023-03-30_16h15.13.940,BrainplaybackQuadrants,2022.2.4,61.04059565856708,
MusicListQ1.csv,,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,13,1,True,2023-03-30_16h15.13.940,BrainplaybackQuadrants,2022.2.4,61.04059565856708,
MusicListQ2.csv,music\Q2\MT0001962373.wav,1,0,1,0,0,3,3,1,0,0,0,2,,533.3535545000004,545.3294986799999,545.3630874999999,,557.3376532000002,569.3798374399997,580.8309530000006,580.8869453000007,581.3497378000002,,,,,,13,1,True,2023-03-30_16h15.13.940,BrainplaybackQuadrants,2022.2.4,61.04059565856708,
MusicListQ2.csv,music\Q2\MT0008570712.wav,1,0,1,0,0,3,3,1,0,1,1,1,,,,,,,581.3471844600003,592.8314003000005,592.8565527000001,593.3503037,,,,,,13,1,True,2023-03-30_16h15.13.940,BrainplaybackQuadrants,2022.2.4,61.04059565856708,
MusicListQ2.csv,music\Q2\MT0017475710.wav,1,0,1,0,0,3,3,1,0,2,2,0,,,,,,,593.35006836,604.8151478999998,604.8818086000001,605.4177731,,,,,,13,1,True,2023-03-30_16h15.13.940,BrainplaybackQuadrants,2022.2.4,61.04059565856708,
MusicListQ2.csv,,1,0,1,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,13,1,True,2023-03-30_16h15.13.940,BrainplaybackQuadrants,2022.2.4,61.04059565856708,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,13,1,True,2023-03-30_16h15.13.940,BrainplaybackQuadrants,2022.2.4,61.04059565856708,
,,,,,,,,,,,,,,,,,,,,,,,,,605.4177731,629.3827172000001,629.4326952000001,630.3827431,,,,,,,,
