MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,WelcomeMessage.stopped,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline2.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ4.csv,music\Q4\MT0028374210.wav,1,0,1,0,0,0,0,3,0,0,0,2,,,326.19435119998525,338.1965421900066,338.194030499988,350.1778376000002,362.2284094600065,373.67876139999134,373.7315593000094,374.22408059999,362.22609509999165,,,,,03,4,True,2023-01-11_17h10.13.706,BrainplaybackQuadrants,2022.2.4,59.87525588998963,
MusicListQ4.csv,music\Q4\MT0001594582.wav,1,0,1,0,0,0,0,3,0,1,1,0,,,,,,,374.2287765600078,385.6791823999956,385.74106239998946,386.2222795999842,,,,,,03,4,True,2023-01-11_17h10.13.706,BrainplaybackQuadrants,2022.2.4,59.87525588998963,
MusicListQ4.csv,music\Q4\MT0012222183.wav,1,0,1,0,0,0,0,3,0,2,2,1,,,,,,,386.22914905999204,397.679487699992,397.7396584000089,398.1935799999919,,,,,,03,4,True,2023-01-11_17h10.13.706,BrainplaybackQuadrants,2022.2.4,59.87525588998963,
MusicListQ4.csv,,1,0,1,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,03,4,True,2023-01-11_17h10.13.706,BrainplaybackQuadrants,2022.2.4,59.87525588998963,
MusicListQ3.csv,music\Q3\MT0009521580.wav,1,0,1,0,0,1,1,2,0,0,0,1,,,398.1935799999919,410.17992068998575,410.19661789998645,422.19016040000133,434.2474012600025,445.6812582999992,445.7501621999836,446.2286318000115,,,,,,03,4,True,2023-01-11_17h10.13.706,BrainplaybackQuadrants,2022.2.4,59.87525588998963,
MusicListQ3.csv,music\Q3\MT0001844620.wav,1,0,1,0,0,1,1,2,0,1,1,0,,,,,,,446.2311672599928,457.6815990000032,457.73187580000376,458.22442089999095,,,,,,03,4,True,2023-01-11_17h10.13.706,BrainplaybackQuadrants,2022.2.4,59.87525588998963,
MusicListQ3.csv,music\Q3\MT0014118699.wav,1,0,1,0,0,1,1,2,0,2,2,2,,,,,,,458.2316316600074,469.682083599997,469.74046219998854,470.19793819999904,,,,,,03,4,True,2023-01-11_17h10.13.706,BrainplaybackQuadrants,2022.2.4,59.87525588998963,
MusicListQ3.csv,,1,0,1,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,03,4,True,2023-01-11_17h10.13.706,BrainplaybackQuadrants,2022.2.4,59.87525588998963,
MusicListQ2.csv,music\Q2\MT0010615428.wav,1,0,1,0,0,2,2,1,0,0,0,1,,,470.19793819999904,482.1825152900099,482.1993278999871,494.18504449998727,506.25021395999937,517.6839537000051,517.7504480000061,518.2270695999905,,,,,,03,4,True,2023-01-11_17h10.13.706,BrainplaybackQuadrants,2022.2.4,59.87525588998963,
MusicListQ2.csv,music\Q2\MT0002602057.wav,1,0,1,0,0,2,2,1,0,1,1,0,,,,,,,518.2340091600082,529.6844667000114,529.7343499999843,530.2272959999973,,,,,,03,4,True,2023-01-11_17h10.13.706,BrainplaybackQuadrants,2022.2.4,59.87525588998963,
MusicListQ2.csv,music\Q2\MT0015541501.wav,1,0,1,0,0,2,2,1,0,2,2,2,,,,,,,530.2343598600011,541.6847521000018,541.7400156999938,542.2027853000036,,,,,,03,4,True,2023-01-11_17h10.13.706,BrainplaybackQuadrants,2022.2.4,59.87525588998963,
MusicListQ2.csv,,1,0,1,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,03,4,True,2023-01-11_17h10.13.706,BrainplaybackQuadrants,2022.2.4,59.87525588998963,
MusicListQ1.csv,music\Q1\MT0011821215.wav,1,0,1,0,0,3,3,0,0,0,0,1,,,542.2027853000036,554.185406189991,554.201979800011,566.1901668999926,578.2529323600057,589.686670199997,589.7599373999983,590.2285478000122,,,,,,03,4,True,2023-01-11_17h10.13.706,BrainplaybackQuadrants,2022.2.4,59.87525588998963,
MusicListQ1.csv,music\Q1\MT0018651126.wav,1,0,1,0,0,3,3,0,0,1,1,2,,,,,,,590.2366109599999,601.6870362999907,601.7395754999889,602.1964840999863,,,,,,03,4,True,2023-01-11_17h10.13.706,BrainplaybackQuadrants,2022.2.4,59.87525588998963,
MusicListQ1.csv,music\Q1\MT0002222957.wav,1,0,1,0,0,3,3,0,0,2,2,0,,,,,,,602.2037771799892,613.6875640999933,613.7104328999994,614.2649149000063,,,,,,03,4,True,2023-01-11_17h10.13.706,BrainplaybackQuadrants,2022.2.4,59.87525588998963,
MusicListQ1.csv,,1,0,1,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,03,4,True,2023-01-11_17h10.13.706,BrainplaybackQuadrants,2022.2.4,59.87525588998963,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,03,4,True,2023-01-11_17h10.13.706,BrainplaybackQuadrants,2022.2.4,59.87525588998963,
,,,,,,,,,,,,,,,,,,,,,,,,,614.2649149000063,638.238425699994,638.27176470001,639.2387130999996,,,,,,,,
