MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,WelcomeMessage.stopped,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Noise.stopped,Baseline2.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ1.csv,music\Q1\MT0013101577.wav,0,0,0,0,0,0,0,0,0,0,0,1,9.414668299999903,26.176579999999376,26.176579999999376,38.123129439999865,38.189762099999825,50.125520499999766,62.174078519999235,73.6249969999999,73.67435429999932,74.14033779999954,,,,,,,10,1,True,2023-03-02_14h56.35.383,BrainplaybackQuadrants,2022.2.4,59.97120182897216,
MusicListQ1.csv,music\Q1\MT0009213083.wav,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,74.14178887999952,85.62550639999972,85.64339859999927,86.14367479999964,,,,,,,10,1,True,2023-03-02_14h56.35.383,BrainplaybackQuadrants,2022.2.4,59.97120182897216,
MusicListQ1.csv,music\Q1\MT0013633209.wav,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,86.15890291999968,97.6252386999995,97.66484909999963,98.13669989999926,,,,,,,10,1,True,2023-03-02_14h56.35.383,BrainplaybackQuadrants,2022.2.4,59.97120182897216,
MusicListQ1.csv,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,10,1,True,2023-03-02_14h56.35.383,BrainplaybackQuadrants,2022.2.4,59.97120182897216,
MusicListQ2.csv,music\Q2\MT0012001409.wav,0,0,0,0,0,1,1,1,0,0,0,1,,,98.13669989999926,110.12627933999957,110.1429092999997,122.13318179999987,134.17664181999973,145.62749759999951,145.68381349999981,146.1524688999998,,,,,,,10,1,True,2023-03-02_14h56.35.383,BrainplaybackQuadrants,2022.2.4,59.97120182897216,
MusicListQ2.csv,music\Q2\MT0008346862.wav,0,0,0,0,0,1,1,1,0,1,1,0,,,,,,,146.16106341999986,157.62793149999925,157.6752695999994,158.15078919999996,,,,,,,10,1,True,2023-03-02_14h56.35.383,BrainplaybackQuadrants,2022.2.4,59.97120182897216,
MusicListQ2.csv,music\Q2\MT0012855159.wav,0,0,0,0,0,1,1,1,0,2,2,2,,,,,,,158.16081991999928,169.6284894999999,169.66430479999963,170.14367259999926,,,,,,,10,1,True,2023-03-02_14h56.35.383,BrainplaybackQuadrants,2022.2.4,59.97120182897216,
MusicListQ2.csv,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,10,1,True,2023-03-02_14h56.35.383,BrainplaybackQuadrants,2022.2.4,59.97120182897216,
MusicListQ4.csv,music\Q4\MT0010485603.wav,0,0,0,0,0,2,2,3,0,0,0,0,,,170.14367259999926,182.12832643999937,182.14546169999994,194.1362984999996,206.1792522199996,217.63020009999946,217.6836416999995,218.1545274,,,,,,,10,1,True,2023-03-02_14h56.35.383,BrainplaybackQuadrants,2022.2.4,59.97120182897216,
MusicListQ4.csv,music\Q4\MT0013955066.wav,0,0,0,0,0,2,2,3,0,1,1,1,,,,,,,218.1630160199995,229.62997059999998,229.67355059999954,230.15076359999966,,,,,,,10,1,True,2023-03-02_14h56.35.383,BrainplaybackQuadrants,2022.2.4,59.97120182897216,
