MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,WelcomeMessage.stopped,Baseline1.started,Noise.started,Baseline1.stopped,Noise.stopped,Baseline2.started,Baseline2.stopped,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ1.csv,music\Q1\MT0013350034.wav,0,0,0,0,0,0,0,0,0,0,0,1,48.54358040000079,64.585382199999,64.585382199999,76.5326298099997,76.59940880000067,88.53411179999966,88.53411179999966,100.55341300000146,100.56708053000001,112.03421890000027,112.07576690000133,112.55294689999937,,,,,05,3,True,2023-01-26_18h24.51.309,BrainplaybackQuadrants,2022.2.4,59.93227652640159,
MusicListQ1.csv,music\Q1\MT0007057303.wav,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,112.55089741999981,124.03467939999973,124.06653709999955,124.55004729999928,,,,,05,3,True,2023-01-26_18h24.51.309,BrainplaybackQuadrants,2022.2.4,59.93227652640159,
MusicListQ1.csv,music\Q1\MT0013389935.wav,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,124.55127692000096,136.0352273999997,136.06592900000032,136.55079679999835,,,,,05,3,True,2023-01-26_18h24.51.309,BrainplaybackQuadrants,2022.2.4,59.93227652640159,
MusicListQ1.csv,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,05,3,True,2023-01-26_18h24.51.309,BrainplaybackQuadrants,2022.2.4,59.93227652640159,
MusicListQ2.csv,music\Q2\MT0012124855.wav,0,0,0,0,0,1,1,1,0,0,0,2,,,136.55079679999835,148.5354877099988,148.55216529999961,160.53622320000068,160.53622320000068,172.56072359999962,172.56977942999984,184.03690880000067,184.0760908000011,184.56101510000008,,,,,05,3,True,2023-01-26_18h24.51.309,BrainplaybackQuadrants,2022.2.4,59.93227652640159,
MusicListQ2.csv,music\Q2\MT0012116237.wav,0,0,0,0,0,1,1,1,0,1,1,1,,,,,,,,,184.57016653000065,196.03727419999996,196.07477389999985,196.5759634999995,,,,,05,3,True,2023-01-26_18h24.51.309,BrainplaybackQuadrants,2022.2.4,59.93227652640159,
MusicListQ2.csv,music\Q2\MT0006806145.wav,0,0,0,0,0,1,1,1,0,2,2,0,,,,,,,,,196.58735683999768,208.0377351999996,208.09509709999838,208.55672889999914,,,,,05,3,True,2023-01-26_18h24.51.309,BrainplaybackQuadrants,2022.2.4,59.93227652640159,
MusicListQ2.csv,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,05,3,True,2023-01-26_18h24.51.309,BrainplaybackQuadrants,2022.2.4,59.93227652640159,
MusicListQ4.csv,music\Q4\MT0014475915.wav,0,0,0,0,0,2,2,3,0,0,0,1,,,208.55672889999914,220.53820851000165,220.5716140000004,,232.54547589999856,,244.58913462999809,256.0395682999988,256.0951333000012,256.58290549999947,,,,,05,3,True,2023-01-26_18h24.51.309,BrainplaybackQuadrants,2022.2.4,59.93227652640159,
MusicListQ4.csv,music\Q4\MT0007119529.wav,0,0,0,0,0,2,2,3,0,1,1,0,,,,,,,,,256.58956594000045,268.03999470000053,268.09509719999915,268.5587962999998,,,,,05,3,True,2023-01-26_18h24.51.309,BrainplaybackQuadrants,2022.2.4,59.93227652640159,
MusicListQ4.csv,music\Q4\MT0014489361.wav,0,0,0,0,0,2,2,3,0,2,2,2,,,,,,,,,268.55667512,280.0403753999999,280.0653439000016,280.56107239999983,,,,,05,3,True,2023-01-26_18h24.51.309,BrainplaybackQuadrants,2022.2.4,59.93227652640159,
MusicListQ4.csv,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,05,3,True,2023-01-26_18h24.51.309,BrainplaybackQuadrants,2022.2.4,59.93227652640159,
MusicListQ3.csv,music\Q3\MT0011440705.wav,0,0,0,0,0,3,3,2,0,0,0,1,,,280.56107239999983,292.54094851000156,292.57428269999946,,304.54444650000005,,316.59155353000136,328.042206099999,328.0943969,328.56329370000094,,,,,05,3,True,2023-01-26_18h24.51.309,BrainplaybackQuadrants,2022.2.4,59.93227652640159,
MusicListQ3.csv,music\Q3\MT0005262725.wav,0,0,0,0,0,3,3,2,0,1,1,0,,,,,,,,,328.5755680299994,340.042556299999,340.07583069999964,340.5653362000012,,,,,05,3,True,2023-01-26_18h24.51.309,BrainplaybackQuadrants,2022.2.4,59.93227652640159,
