MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Noise.stopped,Baseline2.started,Baseline2.stopped,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ3.csv,music\Q3\MT0011308097.wav,0,0,0,0,0,0,0,2,0,0,0,0,20.04879460000666,34.2051696999697,46.152349449985195,46.21913119999226,58.1531321000075,58.1531321000075,70.18208189995494,70.18786855001235,81.65600749995792,81.6941269999952,82.18857699999353,,,,,07,2,True,2023-02-06_15h18.32.817,BrainplaybackQuadrants,2022.2.4,59.912312348496606,
MusicListQ3.csv,music\Q3\MT0000300896.wav,0,0,0,0,0,0,0,2,0,1,1,2,,,,,,,,82.1884024500032,93.65626969997538,93.70594519999577,94.18160449998686,,,,,07,2,True,2023-02-06_15h18.32.817,BrainplaybackQuadrants,2022.2.4,59.912312348496606,
MusicListQ3.csv,music\Q3\MT0001673884.wav,0,0,0,0,0,0,0,2,0,2,2,1,,,,,,,,94.18903534999117,105.65682450000895,105.70430819998728,106.17350699997041,,,,,07,2,True,2023-02-06_15h18.32.817,BrainplaybackQuadrants,2022.2.4,59.912312348496606,
MusicListQ3.csv,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,07,2,True,2023-02-06_15h18.32.817,BrainplaybackQuadrants,2022.2.4,59.912312348496606,
MusicListQ2.csv,music\Q2\MT0011975274.wav,0,0,0,0,0,1,1,1,0,0,0,0,,106.17350699997041,118.15485474996967,118.18843189999461,,130.1623093999806,,142.20525965001434,153.65573369996855,153.71371769998223,154.18359879998025,,,,,07,2,True,2023-02-06_15h18.32.817,BrainplaybackQuadrants,2022.2.4,59.912312348496606,
MusicListQ2.csv,music\Q2\MT0002415184.wav,0,0,0,0,0,1,1,1,0,1,1,1,,,,,,,,154.1917167499778,165.65675639995607,165.71196639997652,166.17824889998883,,,,,07,2,True,2023-02-06_15h18.32.817,BrainplaybackQuadrants,2022.2.4,59.912312348496606,
MusicListQ2.csv,music\Q2\MT0000456939.wav,0,0,0,0,0,1,1,1,0,2,2,2,,,,,,,,166.18947395001305,177.657193299965,177.69215519999852,178.18035290000262,,,,,07,2,True,2023-02-06_15h18.32.817,BrainplaybackQuadrants,2022.2.4,59.912312348496606,
MusicListQ2.csv,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,07,2,True,2023-02-06_15h18.32.817,BrainplaybackQuadrants,2022.2.4,59.912312348496606,
MusicListQ4.csv,music\Q4\MT0013676763.wav,0,0,0,0,0,2,2,3,0,0,0,0,,178.18035290000262,190.15742714999942,190.19098129996564,,202.1631755999988,,214.20787285000551,225.6583971999935,225.71206119999988,226.17910929996287,,,,,07,2,True,2023-02-06_15h18.32.817,BrainplaybackQuadrants,2022.2.4,59.912312348496606,
MusicListQ4.csv,music\Q4\MT0000336135.wav,0,0,0,0,0,2,2,3,0,1,1,2,,,,,,,,226.1910541499965,237.65936759999022,237.69234379997943,238.17926309996983,,,,,07,2,True,2023-02-06_15h18.32.817,BrainplaybackQuadrants,2022.2.4,59.912312348496606,
