MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,Baseline2.stopped,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Noise.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ1.csv,music\Q1\MT0027478016.wav,0,0,0,0,0,0,0,0,0,0,0,1,17.769548199999917,30.764987599999586,42.71824910000068,42.76866890000019,54.72196470000017,66.74188760000106,66.75506740000056,78.22031860000061,78.28312089999963,78.73934180000106,,,,,,10,3,True,2023-03-02_15h19.17.704,BrainplaybackQuadrants,2022.2.4,60.18813607541048,
MusicListQ1.csv,music\Q1\MT0008972801.wav,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,78.75317409999953,90.22071599999981,90.26261700000032,90.7456388999999,,,,,,10,3,True,2023-03-02_15h19.17.704,BrainplaybackQuadrants,2022.2.4,60.18813607541048,
MusicListQ1.csv,music\Q1\MT0013389935.wav,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,90.75429910000021,102.22114870000041,102.26266670000041,102.7544983000007,,,,,,10,3,True,2023-03-02_15h19.17.704,BrainplaybackQuadrants,2022.2.4,60.18813607541048,
MusicListQ1.csv,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,10,3,True,2023-03-02_15h19.17.704,BrainplaybackQuadrants,2022.2.4,60.18813607541048,
MusicListQ3.csv,music\Q3\MT0011594970.wav,0,0,0,0,0,1,1,2,0,0,0,0,,102.7544983000007,114.7217165999995,114.75494919999983,126.73247110000011,,138.7894026000009,150.22285829999964,150.29229380000106,150.75170620000063,,,,,,10,3,True,2023-03-02_15h19.17.704,BrainplaybackQuadrants,2022.2.4,60.18813607541048,
MusicListQ3.csv,music\Q3\MT0007265208.wav,0,0,0,0,0,1,1,2,0,1,1,2,,,,,,,150.75639710000107,162.2233128000007,162.26308600000084,162.8104887999998,,,,,,10,3,True,2023-03-02_15h19.17.704,BrainplaybackQuadrants,2022.2.4,60.18813607541048,
MusicListQ3.csv,music\Q3\MT0015599764.wav,0,0,0,0,0,1,1,2,0,2,2,1,,,,,,,162.82366919999987,174.2253567000007,174.33157419999952,174.73643980000088,,,,,,10,3,True,2023-03-02_15h19.17.704,BrainplaybackQuadrants,2022.2.4,60.18813607541048,
MusicListQ3.csv,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,10,3,True,2023-03-02_15h19.17.704,BrainplaybackQuadrants,2022.2.4,60.18813607541048,
MusicListQ4.csv,music\Q4\MT0014489361.wav,0,0,0,0,0,2,2,3,0,0,0,0,,174.73643980000088,186.7242167999997,186.74082889999954,198.7324112999995,,210.7919400000006,222.22534950000045,222.3087359000001,222.75097760000062,,,,,,10,3,True,2023-03-02_15h19.17.704,BrainplaybackQuadrants,2022.2.4,60.18813607541048,
MusicListQ4.csv,music\Q4\MT0030097602.wav,0,0,0,0,0,2,2,3,0,1,1,1,,,,,,,222.75892590000078,234.22512819999974,234.26239499999974,234.7546585,,,,,,10,3,True,2023-03-02_15h19.17.704,BrainplaybackQuadrants,2022.2.4,60.18813607541048,
