MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline2.stopped,Noise.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ1.csv,music\Q1\MT0002222957.wav,0,0,0,0,0,0,0,0,0,0,0,2,13.445722400001614,30.982079200000953,42.93821851000157,42.988238800000545,54.946749400000044,66.98970623000078,78.43961219999983,78.49604100000033,78.957948700001,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ1.csv,music\Q1\MT0004683099.wav,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,78.95680082000109,90.44057659999999,90.45725250000032,90.96142280000095,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ1.csv,music\Q1\MT0007840454.wav,0,0,0,0,0,0,0,0,0,2,2,1,,,,,,90.9740633300009,102.44099180000012,102.47612470000058,102.96240470000157,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ1.csv,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ4.csv,music\Q4\MT0001594582.wav,0,0,0,0,0,1,1,3,0,0,0,2,,102.96240470000157,114.94091721000169,114.9742468000004,126.92469370000072,138.95901973000056,150.42556380000133,150.46642820000125,150.9403867000001,138.944873800001,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ4.csv,music\Q4\MT0005074629.wav,0,0,0,0,0,1,1,3,0,1,1,0,,,,,,150.942236220001,162.42655340000056,162.44594320000033,162.94701320000058,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ4.csv,music\Q4\MT0007453719.wav,0,0,0,0,0,1,1,3,0,2,2,1,,,,,,162.95989413000117,174.4264544000016,174.46585980000054,174.9366269000002,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ4.csv,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ3.csv,music\Q3\MT0003601752.wav,0,0,0,0,0,2,2,2,0,0,0,0,,174.9366269000002,186.92693291000015,186.9435824000011,198.93581070000073,210.97784163000162,222.42827780000152,222.48701919999985,222.9461162000007,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ3.csv,music\Q3\MT0001844620.wav,0,0,0,0,0,2,2,2,0,1,1,2,,,,,,222.94551672000017,234.42927240000063,234.446009700001,234.94212200000038,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ3.csv,music\Q3\MT0006159067.wav,0,0,0,0,0,2,2,2,0,2,2,1,,,,,,234.9453745200015,246.4291673000007,246.4461863000015,246.9410373999999,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ3.csv,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ2.csv,music\Q2\MT0005029328.wav,0,0,0,0,0,3,3,1,0,0,0,0,,246.9410373999999,258.9301663100008,258.94632850000016,270.9349772000005,282.9805467300013,294.43099800000164,294.48645130000114,294.9697515000007,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ2.csv,music\Q2\MT0002602057.wav,0,0,0,0,0,3,3,1,0,1,1,2,,,,,,294.98150974000197,306.4320437000006,306.4861546000011,306.95197850000113,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ2.csv,music\Q2\MT0006939177.wav,0,0,0,0,0,3,3,1,0,2,2,1,,,,,,306.9653260300003,318.4343198000006,318.467694500001,,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ2.csv,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ2.csv,music\Q2\MT0008361425.wav,1,0,1,0,0,0,0,1,0,0,0,1,,318.9934955000008,330.9823376100006,330.9990052000012,342.98723659999996,355.0332360300019,366.486185400001,366.53766650000034,367.0110902000015,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ2.csv,music\Q2\MT0004447086.wav,1,0,1,0,0,0,0,1,0,1,1,2,,,,,,367.02329933000163,378.4841279000011,378.53658950000136,378.9986112000006,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ2.csv,music\Q2\MT0009253118.wav,1,0,1,0,0,0,0,1,0,2,2,0,,,,,,379.0013355200015,390.48461900000075,390.50692040000104,391.00482100000045,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ2.csv,,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ4.csv,music\Q4\MT0010665248.wav,1,0,1,0,0,1,1,3,0,0,0,1,,391.00482100000045,402.98559991000127,403.0189381,414.9878778000002,427.0525868400014,438.4869052000013,438.5688876000004,439.00880660000075,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ4.csv,music\Q4\MT0003778826.wav,1,0,1,0,0,1,1,3,0,1,1,2,,,,,,439.0196936300019,450.4868241000004,450.52767380000114,451.008363500001,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ4.csv,music\Q4\MT0011376343.wav,1,0,1,0,0,1,1,3,0,2,2,0,,,,,,451.020163530002,462.48971950000123,462.5278044000006,463.01405030000024,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ4.csv,,1,0,1,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ1.csv,music\Q1\MT0009378909.wav,1,0,1,0,0,2,2,0,0,0,0,1,,463.01405030000024,474.98777671000005,475.0216522999999,486.98822550000114,499.0225413300015,510.4918934000016,510.5278167000015,511.0147758000003,499.0100708000009,486.98822550000114,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ1.csv,music\Q1\MT0003669917.wav,1,0,1,0,0,2,2,0,0,1,1,2,,,,,,511.0249458300006,522.4900858000001,522.5470826000001,523.0067553000008,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ1.csv,music\Q1\MT0010489498.wav,1,0,1,0,0,2,2,0,0,2,2,0,,,,,,523.0061968200014,534.4904768000015,534.5171506000006,535.0140992000015,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ1.csv,,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ3.csv,music\Q3\MT0008399774.wav,1,0,1,0,0,3,3,2,0,0,0,0,,535.0140992000015,546.9904346100005,547.0238084000011,558.997688200001,571.0588989400018,582.4926797000007,582.5689170000005,583.0183269000008,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ3.csv,music\Q3\MT0007477802.wav,1,0,1,0,0,3,3,2,0,1,1,1,,,,,,583.0259794300019,594.4925311000006,594.5282827999999,595.0143588999999,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ3.csv,music\Q3\MT0003053135.wav,1,0,1,0,0,3,3,2,0,2,2,2,,,,,,595.0281071300016,606.4935538000009,606.5487791000014,,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
MusicListQ3.csv,,1,0,1,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,17,2,True,2023-04-18_17h08.22.657,BrainplaybackQuadrants,2022.2.4,59.75803969709607,
,,,,,,,,,,,,,,,,,,,,,,,,,607.1023127000008,631.0611423000009,631.1111519000006,632.0611968000012,,,,,,,,
