MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,WelcomeMessage.stopped,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Noise.stopped,Baseline2.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ4.csv,music\Q4\MT0014507179.wav,0,0,0,0,0,0,0,3,0,0,0,1,15.705274299999473,30.372600800000328,30.372600800000328,42.33163996000003,42.38150169999972,54.33646190000036,66.3824665799999,77.83223980000002,77.88585369999964,78.35488729999997,,,,,,,06,2,True,2023-01-19_18h06.19.536,BrainplaybackQuadrants,2022.2.4,59.98746262021446,
MusicListQ4.csv,music\Q4\MT0005074629.wav,0,0,0,0,0,0,0,3,0,1,1,0,,,,,,,78.36649767999971,89.83321530000012,89.87615399999959,90.36234749999949,,,,,,,06,2,True,2023-01-19_18h06.19.536,BrainplaybackQuadrants,2022.2.4,59.98746262021446,
MusicListQ4.csv,music\Q4\MT0031898123.wav,0,0,0,0,0,0,0,3,0,2,2,2,,,,,,,90.36615487999971,101.83377490000021,101.87570219999998,102.3479127999999,,,,,,,06,2,True,2023-01-19_18h06.19.536,BrainplaybackQuadrants,2022.2.4,59.98746262021446,
MusicListQ4.csv,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,06,2,True,2023-01-19_18h06.19.536,BrainplaybackQuadrants,2022.2.4,59.98746262021446,
MusicListQ2.csv,music\Q2\MT0012168286.wav,0,0,0,0,0,1,1,1,0,0,0,1,,,102.3479127999999,114.33360535999982,114.35023319999982,126.34531069999957,138.38452748000017,149.83540679999987,149.90202789999967,150.35221920000004,,,,,,,06,2,True,2023-01-19_18h06.19.536,BrainplaybackQuadrants,2022.2.4,59.98746262021446,
MusicListQ2.csv,music\Q2\MT0030271679.wav,0,0,0,0,0,1,1,1,0,1,1,2,,,,,,,150.35224632000006,161.83524839999973,161.85576169999968,162.35466429999997,,,,,,,06,2,True,2023-01-19_18h06.19.536,BrainplaybackQuadrants,2022.2.4,59.98746262021446,
MusicListQ2.csv,music\Q2\MT0005029328.wav,0,0,0,0,0,1,1,1,0,2,2,0,,,,,,,162.36925088000007,173.83566689999952,173.87470310000026,174.3541255,,,,,,,06,2,True,2023-01-19_18h06.19.536,BrainplaybackQuadrants,2022.2.4,59.98746262021446,
MusicListQ2.csv,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,06,2,True,2023-01-19_18h06.19.536,BrainplaybackQuadrants,2022.2.4,59.98746262021446,
MusicListQ3.csv,music\Q3\MT0003601752.wav,0,0,0,0,0,2,2,2,0,0,0,0,,,174.3541255,186.32006466,186.3701119999996,198.32589989999997,210.37046577999953,221.8213023999997,221.87529939999968,222.34336199999962,,,,,,,06,2,True,2023-01-19_18h06.19.536,BrainplaybackQuadrants,2022.2.4,59.98746262021446,
MusicListQ3.csv,music\Q3\MT0030304982.wav,0,0,0,0,0,2,2,2,0,1,1,2,,,,,,,222.35477648000014,233.82183170000008,233.8560564999998,234.3464167000002,,,,,,,06,2,True,2023-01-19_18h06.19.536,BrainplaybackQuadrants,2022.2.4,59.98746262021446,
