MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,WelcomeMessage.stopped,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Noise.stopped,Baseline2.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ2.csv,music\Q2\MT0007697753.wav,1,0,1,0,0,0,0,1,0,0,0,1,,,319.7344863999988,331.7327768099991,331.74946289999934,343.73944909999955,355.78352273,367.23399229999995,367.28930429999855,367.75279109999974,,,,,,,sub-02,4,True,2023-01-04_16h52.48.419,BrainplaybackQuadrants,2022.2.4,59.7111176125117,
MusicListQ2.csv,music\Q2\MT0003326925.wav,1,0,1,0,0,0,0,1,0,1,1,0,,,,,,,367.7506917200001,379.2343885999999,379.2597442999995,379.7529942000001,,,,,,,sub-02,4,True,2023-01-04_16h52.48.419,BrainplaybackQuadrants,2022.2.4,59.7111176125117,
MusicListQ2.csv,music\Q2\MT0008346862.wav,1,0,1,0,0,0,0,1,0,2,2,2,,,,,,,379.751090519999,391.23497099999986,391.2514907999994,391.7516431999993,,,,,,,sub-02,4,True,2023-01-04_16h52.48.419,BrainplaybackQuadrants,2022.2.4,59.7111176125117,
MusicListQ2.csv,,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,sub-02,4,True,2023-01-04_16h52.48.419,BrainplaybackQuadrants,2022.2.4,59.7111176125117,
MusicListQ3.csv,music\Q3\MT0007438571.wav,1,0,1,0,0,1,1,2,0,0,0,2,,,391.7516431999993,403.718730109999,403.75208829999974,415.71954919999916,427.75288093,439.22004839999863,439.25975859999926,439.7416773999994,415.71954919999916,427.73934779999945,,,,,sub-02,4,True,2023-01-04_16h52.48.419,BrainplaybackQuadrants,2022.2.4,59.7111176125117,
MusicListQ3.csv,music\Q3\MT0002006203.wav,1,0,1,0,0,1,1,2,0,1,1,0,,,,,,,439.7533237299993,451.22036819999994,451.2599378999985,451.7408481000002,,,,,,,sub-02,4,True,2023-01-04_16h52.48.419,BrainplaybackQuadrants,2022.2.4,59.7111176125117,
MusicListQ3.csv,music\Q3\MT0007043936.wav,1,0,1,0,0,1,1,2,0,2,2,1,,,,,,,451.7538024299991,463.22080229999847,463.2598801999993,463.7395330999989,,,,,,,sub-02,4,True,2023-01-04_16h52.48.419,BrainplaybackQuadrants,2022.2.4,59.7111176125117,
MusicListQ3.csv,,1,0,1,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,sub-02,4,True,2023-01-04_16h52.48.419,BrainplaybackQuadrants,2022.2.4,59.7111176125117,
MusicListQ1.csv,music\Q1\MT0008675527.wav,1,0,1,0,0,2,2,0,0,0,0,1,,,463.7395330999989,475.72124331,475.7546327,487.72955029999866,499.75554621999913,511.22265699999843,511.2592550999998,511.7343671999988,,,,,,,sub-02,4,True,2023-01-04_16h52.48.419,BrainplaybackQuadrants,2022.2.4,59.7111176125117,
MusicListQ1.csv,music\Q1\MT0009213083.wav,1,0,1,0,0,2,2,0,0,1,1,2,,,,,,,511.73921921999977,523.2230930999995,523.2397254999996,523.7347321999987,,,,,,,sub-02,4,True,2023-01-04_16h52.48.419,BrainplaybackQuadrants,2022.2.4,59.7111176125117,
MusicListQ1.csv,music\Q1\MT0002538335.wav,1,0,1,0,0,2,2,0,0,2,2,0,,,,,,,523.7397334199989,535.2235100999987,535.2510680999985,535.7448194999997,,,,,,,sub-02,4,True,2023-01-04_16h52.48.419,BrainplaybackQuadrants,2022.2.4,59.7111176125117,
MusicListQ1.csv,,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,sub-02,4,True,2023-01-04_16h52.48.419,BrainplaybackQuadrants,2022.2.4,59.7111176125117,
MusicListQ4.csv,music\Q4\MT0009075362.wav,1,0,1,0,0,3,3,3,0,0,0,1,,,535.7448194999997,547.724010909999,547.7572650000002,559.7305520999998,571.7607639199989,583.2251371000002,583.2789259000001,583.7292283999996,,,,,,,sub-02,4,True,2023-01-04_16h52.48.419,BrainplaybackQuadrants,2022.2.4,59.7111176125117,
MusicListQ4.csv,music\Q4\MT0001942272.wav,1,0,1,0,0,3,3,3,0,1,1,0,,,,,,,583.7419586199987,595.2255795000001,595.2491744999988,595.7298493999988,,,,,,,sub-02,4,True,2023-01-04_16h52.48.419,BrainplaybackQuadrants,2022.2.4,59.7111176125117,
MusicListQ4.csv,music\Q4\MT0010485603.wav,1,0,1,0,0,3,3,3,0,2,2,2,,,,,,,595.7420908199995,607.2259058999989,607.2484764000001,607.8107420999986,,,,,,,sub-02,4,True,2023-01-04_16h52.48.419,BrainplaybackQuadrants,2022.2.4,59.7111176125117,
MusicListQ4.csv,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,sub-02,4,True,2023-01-04_16h52.48.419,BrainplaybackQuadrants,2022.2.4,59.7111176125117,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,sub-02,4,True,2023-01-04_16h52.48.419,BrainplaybackQuadrants,2022.2.4,59.7111176125117,
,,,,,,,,,,,,,,,,,,,,,,,,,,607.8107420999986,631.7769155999995,631.810257699999,632.7768493999993,,,,,,,,
