,valence,arousal,part_quadrant,proj_quadrant
0,0.2125,0.305,Q1,Q1
1,-0.09,0.13,Q2,Q3
2,0.26,0.32875,Q1,Q1
3,-0.075,0.32375,Q2,Q1
4,-0.29625,0.23,Q2,Q4
5,0.11625,0.33375,Q1,Q2
6,-0.10875,-0.0675,Q3,Q3
7,-0.285,0.32625,Q2,Q2
8,0.165,-0.135,Q4,Q4
9,-0.21625,0.14875,Q2,Q1
10,-0.2725,-0.3025,Q3,Q4
11,-0.1725,0.19875,Q2,Q2
12,-0.28875,0.3225,Q2,Q2
13,0.305,0.14,Q1,Q1
14,-0.2675,0.3275,Q2,Q2
15,0.02375,-0.28625,Q4,Q4
16,-0.285,0.1025,Q2,Q4
17,-0.0425,0.22625,Q2,Q1
18,-0.10375,-0.06625,Q3,Q3
19,0.09875,-0.12625,Q4,Q3
20,0.12,-0.07375,Q4,Q3
21,0.1625,-0.2175,Q4,Q4
22,0.165,-0.33375,Q4,Q3
23,-0.27875,0.32875,Q2,Q2
24,0.285,-0.18875,Q4,Q3
25,-0.23375,0.1725,Q2,Q2
26,0.265,0.27,Q1,Q4
27,0.0375,0.1925,Q1,Q3
28,-0.28625,0.32375,Q2,Q2
29,0.27,0.2425,Q1,Q1
30,0.055,0.32875,Q1,Q2
31,0.2325,-0.0875,Q4,Q4
32,-0.29,-0.31,Q3,Q3
33,-0.25875,-0.2925,Q3,Q4
34,-0.17125,-0.10625,Q3,Q4
35,0.21,0.235,Q1,Q1
36,0.22125,-0.27,Q4,Q3
37,-0.1725,-0.2625,Q3,Q3
38,0.09125,-0.255,Q4,Q4
39,0.22125,0.25875,Q1,Q1
40,0.075,-0.1775,Q4,Q4
41,0.20625,0.24625,Q1,Q1
42,-0.27625,0.3275,Q2,Q2
43,-0.15125,0.30875,Q2,Q2
44,-0.08875,0.1625,Q2,Q2
45,0.27875,-0.0575,Q4,Q1
46,0.0975,-0.0525,Q4,Q3
47,0.21625,0.17,Q1,Q1
48,0.2975,0.21625,Q1,Q1
49,0.2925,0.2275,Q1,Q2
50,0.29375,-0.065,Q4,Q4
51,0.0975,-0.3225,Q4,Q3
52,-0.2825,0.31625,Q2,Q2
53,-0.1575,0.3375,Q2,Q2
54,0.27,-0.315,Q4,Q4
55,0.275,-0.32375,Q4,Q4
56,-0.2775,0.32125,Q2,Q2
57,0.28625,-0.08125,Q4,Q3
58,0.2775,0.32375,Q1,Q1
59,0.2825,-0.0425,Q4,Q4
60,-0.1125,-0.23125,Q3,Q3
61,0.29,-0.13375,Q4,Q4
62,0.105,0.335,Q1,Q1
63,0.285,0.3,Q1,Q1
64,-0.20625,-0.0475,Q3,Q3
65,-0.16625,0.33,Q2,Q2
66,-0.19,0.11375,Q2,Q4
67,-0.26125,-0.3075,Q3,Q3
68,0.2975,-0.19125,Q4,Q1
69,0.1425,-0.12,Q4,Q1
70,-0.0875,-0.06875,Q3,Q3
71,-0.0625,0.31875,Q2,Q2
72,-0.21875,0.11625,Q2,Q2
73,0.04375,0.1975,Q1,Q1
74,-0.26875,-0.03,Q3,Q3
75,0.30875,-0.20625,Q4,Q3
76,0.3025,0.09375,Q1,Q3
77,-0.1825,0.3325,Q2,Q2
78,-0.2525,-0.315,Q3,Q4
79,-0.1825,-0.17625,Q3,Q3
80,-0.1275,0.08125,Q2,Q1
81,0.06125,0.3325,Q1,Q1
82,-0.28875,0.3325,Q2,Q2
83,0.2725,-0.0525,Q4,Q4
84,-0.2825,0.32125,Q2,Q2
85,-0.27125,0.31875,Q2,Q2
86,0.21125,-0.23375,Q4,Q4
87,0.05625,0.22625,Q1,Q1
88,0.28,-0.3125,Q4,Q3
89,0.05875,-0.0475,Q4,Q4
90,0.24875,0.30875,Q1,Q1
91,-0.29375,-0.0675,Q3,Q4
92,-0.28875,0.30875,Q2,Q2
93,-0.27875,-0.0325,Q3,Q1
94,0.11375,-0.14,Q4,Q4
95,-0.18,-0.0375,Q3,Q3
