,valence,arousal,part_quadrant,proj_quadrant
0,0.24285714285714285,0.1219047619047619,Q1,Q4
1,-0.2733333333333333,0.27714285714285714,Q2,Q2
2,0.03428571428571429,-0.23142857142857143,Q4,Q4
3,0.2914285714285714,0.24952380952380954,Q1,Q1
4,-0.040952380952380955,0.0761904761904762,Q2,Q3
5,0.0380952380952381,0.04,Q1,Q2
6,0.10285714285714286,-0.2733333333333333,Q4,Q3
7,0.023809523809523808,-0.3047619047619048,Q4,Q4
8,-0.3038095238095238,0.24666666666666667,Q2,Q3
9,-0.2914285714285714,0.17714285714285713,Q2,Q2
10,-0.04380952380952381,-0.23333333333333334,Q3,Q3
11,0.23904761904761904,0.30666666666666664,Q1,Q1
12,-0.049523809523809526,0.29333333333333333,Q2,Q1
13,0.2342857142857143,-0.022857142857142857,Q4,Q4
14,0.10857142857142857,-0.024761904761904763,Q4,Q4
15,0.2866666666666667,0.17047619047619048,Q1,Q1
16,0.02857142857142857,0.28095238095238095,Q1,Q2
17,-0.26571428571428574,0.30857142857142855,Q2,Q2
18,0.15333333333333332,0.16380952380952382,Q1,Q1
19,0.030476190476190476,0.21904761904761905,Q1,Q1
20,-0.2819047619047619,0.29523809523809524,Q2,Q2
21,0.025714285714285714,-0.12666666666666668,Q4,Q4
22,-0.045714285714285714,-0.04380952380952381,Q3,Q3
23,0.037142857142857144,-0.039047619047619046,Q4,Q3
24,0.1019047619047619,0.0980952380952381,Q1,Q1
25,0.1219047619047619,0.1895238095238095,Q1,Q4
26,0.09904761904761905,0.09238095238095238,Q1,Q2
27,-0.12857142857142856,-0.14,Q3,Q3
28,-0.2619047619047619,0.3028571428571429,Q2,Q2
29,0.24666666666666667,0.17333333333333334,Q1,Q1
30,0.17238095238095238,-0.24,Q4,Q3
31,-0.2561904761904762,0.2923809523809524,Q2,Q2
32,0.16666666666666666,0.16380952380952382,Q1,Q1
33,-0.23714285714285716,0.30857142857142855,Q2,Q2
34,0.023809523809523808,-0.31238095238095237,Q4,Q4
35,0.0980952380952381,0.10571428571428572,Q1,Q1
36,-0.17714285714285713,-0.20761904761904762,Q3,Q1
37,-0.18571428571428572,0.1761904761904762,Q2,Q2
38,-0.04285714285714286,-0.04666666666666667,Q3,Q3
39,0.030476190476190476,0.03619047619047619,Q1,Q1
40,-0.03238095238095238,-0.32571428571428573,Q3,Q4
41,-0.13333333333333333,0.31523809523809526,Q2,Q2
42,-0.21047619047619048,0.23809523809523808,Q2,Q3
43,0.1676190476190476,0.05333333333333334,Q1,Q4
44,-0.1657142857142857,-0.20476190476190476,Q3,Q3
45,0.04476190476190476,-0.24,Q4,Q4
46,-0.06285714285714286,-0.06571428571428571,Q3,Q3
47,-0.18571428571428572,-0.1980952380952381,Q3,Q4
48,-0.23714285714285716,0.11904761904761904,Q2,Q4
49,-0.1657142857142857,-0.2,Q3,Q4
50,-0.11047619047619048,0.12,Q2,Q1
51,-0.26666666666666666,0.2895238095238095,Q2,Q2
52,-0.22952380952380952,0.2819047619047619,Q2,Q2
53,0.05523809523809524,-0.06095238095238095,Q4,Q4
54,0.17238095238095238,0.06,Q1,Q1
55,-0.13333333333333333,-0.047619047619047616,Q3,Q3
56,0.16,0.1742857142857143,Q1,Q1
57,0.015238095238095238,0.19714285714285715,Q1,Q3
58,-0.20476190476190476,0.23714285714285716,Q2,Q1
59,-0.0380952380952381,-0.0380952380952381,Q3,Q4
60,0.15904761904761905,0.0419047619047619,Q1,Q4
61,0.018095238095238095,0.15904761904761905,Q1,Q2
62,-0.022857142857142857,-0.13904761904761906,Q3,Q1
63,0.014285714285714285,0.17142857142857143,Q1,Q4
64,-0.07428571428571429,0.26095238095238094,Q2,Q2
65,0.2342857142857143,0.28285714285714286,Q1,Q1
66,-0.2980952380952381,0.32476190476190475,Q2,Q2
67,-0.05047619047619047,-0.22380952380952382,Q3,Q3
68,-0.17238095238095238,-0.17142857142857143,Q3,Q3
69,-0.01904761904761905,-0.14857142857142858,Q3,Q3
70,-0.02,-0.17904761904761904,Q3,Q3
71,-0.2571428571428571,0.2866666666666667,Q2,Q2
72,0.05523809523809524,0.04380952380952381,Q1,Q4
73,-0.01619047619047619,0.17142857142857143,Q2,Q4
74,-0.19523809523809524,0.22285714285714286,Q2,Q2
75,0.1180952380952381,0.1295238095238095,Q1,Q3
76,0.021904761904761906,0.19428571428571428,Q1,Q3
77,-0.037142857142857144,-0.04285714285714286,Q3,Q3
78,-0.15047619047619049,-0.16095238095238096,Q3,Q4
79,0.14285714285714285,0.18571428571428572,Q1,Q1
80,0.035238095238095235,-0.039047619047619046,Q4,Q4
81,-0.2704761904761905,0.3076190476190476,Q2,Q2
82,0.023809523809523808,0.21904761904761905,Q1,Q2
83,-0.0761904761904762,0.06761904761904762,Q2,Q2
84,0.09428571428571429,-0.1019047619047619,Q4,Q4
85,0.058095238095238096,0.05714285714285714,Q1,Q1
86,0.013333333333333334,-0.24095238095238095,Q4,Q4
87,-0.2571428571428571,0.2857142857142857,Q2,Q2
88,-0.2438095238095238,0.2819047619047619,Q2,Q2
89,0.015238095238095238,0.18857142857142858,Q1,Q1
90,0.13714285714285715,0.15047619047619049,Q1,Q1
91,0.10285714285714286,-0.12285714285714286,Q4,Q1
92,-0.07047619047619047,-0.07904761904761905,Q3,Q3
93,-0.06857142857142857,0.06476190476190476,Q2,Q3
94,-0.15619047619047619,-0.2038095238095238,Q3,Q3
95,0.035238095238095235,0.16476190476190475,Q1,Q1
